title,rating,review_count,rating_category,address,located_in,working_hours,website,phone,plus_code,popular_hours_of_today,photos,keycontent,id,reviews,geo_location,longitude,latitude,url,timestamp
ATM Komercijalna Banka,,,ATM,"ul. 7-mi Noemvri br.1 Zgrada Kifla br.1, Ohrid 6000, North Macedonia",,,,,"4R82+VV Ohrid, North Macedonia Copy plus code",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=G4PQd7S-Bfj2DFKKXr96Jw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=109.08478&pitch=0&thumbfov=100, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=G4PQd7S-Bfj2DFKKXr96Jw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=109.08478&pitch=0&thumbfov=100",ATMKomercijalnaBanka,2e4915452bdcfecd3945043fcda6e929,[],"['41.1172042', '20.7999921']",20.7999921,41.1172042,"https://www.google.com/maps/place/ATM+Komercijalna+Banka/@41.1172042,20.7999921,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dd86e1db93f1:0x9f888b545970bd05!8m2!3d41.1172042!4d20.8021808?authuser=0&hl=en",2021-11-11T14:48:14Z
Exchange Office Rainbow,3.8 stars,9 reviews,Currency exchange service,"Complex Letnica, St Clement of Ohrid, Ohrid 6000, North Macedonia",Located in: Complex Letnitsa,"Open now:, 9AM–9PMThursday, 9AM–9PM, Holiday hours, Hours might differ, Friday, 9AM–9PM, Holiday hours, Hours might differ, Saturday, 9AM–9PM, Holiday hours, Hours might differ, Sunday, 9AM–9PM, Holiday hours, Hours might differ, Monday, 9AM–9PM, Holiday hours, Hours might differ, Tuesday, 9AM–9PM, Holiday hours, Hours might differ, Wednesday, 9AM–9PM, Holiday hours, Hours might differ",business.site,38978221887,"4Q7X+9V Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipOnvH7l6vJBhkC716HYqk8vRHnRc0T7Yw8gTGMr=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMzakLDYS_Ygxkc4HQxXKDxTsHjkuX9mWrdGS2K=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMzakLDYS_Ygxkc4HQxXKDxTsHjkuX9mWrdGS2K=w397-h298-k-no",ExchangeOfficeRainbow38stars9,705e3e8bf7500662a0ec4e57899948cc,"[{'review_title': '', 'reviewer': 'Kosta Cvetkoski', 'review': 'Great rates. Speaks English. Quick service.', 'review_age': '4 years ago'}, {'review_title': '', 'reviewer': 'Orce Alackoski', 'review': 'Quick. Easy. Good rates.', 'review_age': '4 years ago'}, {'review_title': '', 'reviewer': 'Marek Kołodziej', 'review': '(Translated by Google) Caution:\n50 € => 1800 MKD\ngive a wide berth …', 'review_age': '3 months ago'}]","['41.113461', '20.7975134']",20.7975134,41.113461,"https://www.google.com/maps/place/Exchange+Office+Rainbow/@41.113461,20.7975134,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dca47146b88b:0x742962e5f83effa5!8m2!3d41.1134628!4d20.7996958?authuser=0&hl=en",2021-11-11T14:48:30Z
ATM Komercijalna Banka,,,ATM,"Jane Sandanski, Ohrid, North Macedonia",,,,,"4R65+XJ Ohrid, North Macedonia Copy plus code",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hJ8a4clCEazmbyTnACbbng&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=122.47993&pitch=0&thumbfov=100, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hJ8a4clCEazmbyTnACbbng&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=122.47993&pitch=0&thumbfov=100",ATMKomercijalnaBanka,9eb29ba9b8f7d74c15a1772795dbc0f3,[],"['41.1124358', '20.8068666']",20.8068666,41.1124358,"https://www.google.com/maps/place/ATM+Komercijalna+Banka/@41.1124358,20.8068666,17z/data=!3m1!4b1!4m5!3m4!1s0x1350db5f49eecc97:0x5881382d854556a9!8m2!3d41.1124605!4d20.8090177?authuser=0&hl=en",2021-11-11T14:48:45Z
NLB Banka АТМ,,,ATM,"Sv. Kliment Ohridski i Makedonski Prosvetiteli, Stara Carsija, Prodavnica Orka, Ohrid 6000, North Macedonia",,"Open now:, Open 24 hoursThursday, Open 24 hours, Holiday hours, Hours might differ, Friday, Open 24 hours, Holiday hours, Hours might differ, Saturday, Open 24 hours, Holiday hours, Hours might differ, Sunday, Open 24 hours, Holiday hours, Hours might differ, Monday, Open 24 hours, Holiday hours, Hours might differ, Tuesday, Open 24 hours, Holiday hours, Hours might differ, Wednesday, Open 24 hours, Holiday hours, Hours might differ",nlb.mk,38925100555,"4Q7X+JX Ohrid, North Macedonia Copy plus code",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=woUnX7wK8r406OGzFj4cnQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=307.33444&pitch=0&thumbfov=100, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=woUnX7wK8r406OGzFj4cnQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=307.33444&pitch=0&thumbfov=100",NLBBankaАТМ,8b4c312217e0404176ed45772b4e4498,[],"['41.1140332', '20.7977904']",20.7977904,41.1140332,"https://www.google.com/maps/place/NLB+Banka+%D0%90%D0%A2%D0%9C/@41.1140332,20.7977904,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dca476943ecb:0x9d21f6a4efcfcd2!8m2!3d41.1140332!4d20.7999791?authuser=0&hl=en",2021-11-11T14:49:00Z
NLB Banka АТМ,,,ATM,"Bul. Mak. Prosvetiteli BB, Tinex 2 Ohrid, Ohrid 6000, North Macedonia",,"Open now:, Open 24 hoursThursday, Open 24 hours, Holiday hours, Hours might differ, Friday, Open 24 hours, Holiday hours, Hours might differ, Saturday, Open 24 hours, Holiday hours, Hours might differ, Sunday, Open 24 hours, Holiday hours, Hours might differ, Monday, Open 24 hours, Holiday hours, Hours might differ, Tuesday, Open 24 hours, Holiday hours, Hours might differ, Wednesday, Open 24 hours, Holiday hours, Hours might differ",nlb.mk,38925100555,"4RC5+XQ Ohrid, North Macedonia Copy plus code",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0hIVmoEYfdrWeorLBH5Uwg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=307.69455&pitch=0&thumbfov=100, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0hIVmoEYfdrWeorLBH5Uwg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=307.69455&pitch=0&thumbfov=100",NLBBankaАТМ,0328707cee8eb562818bf86d563d5fc6,[],"['41.1224575', '20.8072917']",20.8072917,41.1224575,"https://www.google.com/maps/place/NLB+Banka+%D0%90%D0%A2%D0%9C/@41.1224575,20.8072917,17z/data=!3m1!4b1!4m5!3m4!1s0x1350db63b6b39f43:0x782727b859f95c14!8m2!3d41.1224828!4d20.8095207?authuser=0&hl=en",2021-11-11T14:49:29Z
ATM Ohridska Banka,,,ATM,"Nikola Karev, Ohrid, North Macedonia",,,,,"4R65+VQ Ohrid, North Macedonia Copy plus code",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=S-Xkd7to79I4W3cbuq8IYw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=273.5664&pitch=0&thumbfov=100, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=S-Xkd7to79I4W3cbuq8IYw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=273.5664&pitch=0&thumbfov=100",ATMOhridskaBanka,1429b88865a98e90ffe2f265aa9c0941,[],"['41.1122202', '20.8072632']",20.8072632,41.1122202,"https://www.google.com/maps/place/ATM+Ohridska+Banka/@41.1122202,20.8072632,17z/data=!3m1!4b1!4m5!3m4!1s0x1350db5f340b9a09:0x6d76eb9300f88c13!8m2!3d41.1122844!4d20.8095289?authuser=0&hl=en",2021-11-11T14:49:39Z
Ohridska Banka,4.3 stars,3 reviews,ATM,"St Clement of Ohrid, Ohrid, North Macedonia",,"Open now:, Open 24 hoursThursday, Open 24 hours, Holiday hours, Hours might differ, Friday, Open 24 hours, Holiday hours, Hours might differ, Saturday, Open 24 hours, Holiday hours, Hours might differ, Sunday, Open 24 hours, Holiday hours, Hours might differ, Monday, Open 24 hours, Holiday hours, Hours might differ, Tuesday, Open 24 hours, Holiday hours, Hours might differ, Wednesday, Open 24 hours, Holiday hours, Hours might differ",,,"4Q7X+JX Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipO_tcjaymIEWHgsN6Dy6JXKnBJoaMeERS44j7ct=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipO_tcjaymIEWHgsN6Dy6JXKnBJoaMeERS44j7ct=w397-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LkcQnyRwRSS_UHsnvnDB9g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=311.77118&pitch=0&thumbfov=100",OhridskaBanka43stars3,d0610bf06dbf253871f0459377b7d21c,"[{'review_title': '', 'reviewer': 'Kristofff', 'review': '(Translated by Google) You can withdraw Macedonian denars from your revolout account without any commission. Good localization. …', 'review_age': 'a month ago'}, {'review_title': '', 'reviewer': 'Pavel Jovanoski', 'review': '(Translated by Google) ATM\n\n(Original)\nBankomat', 'review_age': '4 years ago'}, {'review_title': '', 'reviewer': 'Љупчо Лазовски', 'review': '', 'review_age': '9 months ago'}]","['41.11409', '20.7978035']",20.7978035,41.11409,"https://www.google.com/maps/place/Ohridska+Banka/@41.11409,20.7978035,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dca471b550e3:0xa85c03464406c163!8m2!3d41.1140909!4d20.7999882?authuser=0&hl=en",2021-11-11T14:49:51Z
Stopanska Banka,4.7 stars,3 reviews,Bank,"Kuzman Josifovski 3, Ohrid 6000, North Macedonia",,"Closing soon:, 8:30AM–4PMThursday, 8:30AM–4PM, Holiday hours, Hours might differ, Friday, 8:30AM–4PM, Holiday hours, Hours might differ, Saturday, Closed, Holiday hours, Hours might differ, Sunday, Closed, Holiday hours, Hours might differ, Monday, 8:30AM–4PM, Holiday hours, Hours might differ, Tuesday, 8:30AM–4PM, Holiday hours, Hours might differ, Wednesday, 8:30AM–4PM, Holiday hours, Hours might differ",stb.com.mk,38946260277,"4R62+RV Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipO7bTTaKTI_dMjkoJv7nEmRDLXiAXxBYbIE1jRa=w529-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNUvSCCWmPPaKyhO2lJOr9YZ2C9adiXCS8waiPr=w397-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xTgCCbLg2V8cw1HDywrJfg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=158.8011&pitch=0&thumbfov=100",StopanskaBanka47stars3,2d8f739bb19e274a6963ded637175624,"[{'review_title': '', 'reviewer': 'kliment krstov', 'review': '', 'review_age': '3 years ago'}, {'review_title': '', 'reviewer': 'Борче Ѓорески', 'review': '', 'review_age': '6 months ago'}, {'review_title': '', 'reviewer': 'Pavel Jovanoski', 'review': '', 'review_age': '6 years ago'}]","['41.1121111', '20.8000427']",20.8000427,41.1121111,"https://www.google.com/maps/place/Stopanska+Banka/@41.1121111,20.8000427,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dca69c20f765:0x7970bc8ed33731b2!8m2!3d41.1121105!4d20.8022325?authuser=0&hl=en",2021-11-11T14:50:16Z
NLB Tutunska Banks,4.8 stars,4 reviews,ATM,"Partizanska 1, Ohrid 6000, North Macedonia",Located in: NLB Bank,"Closing soon:, 8AM–4:30PMThursday, 8AM–4:30PM, Holiday hours, Hours might differ, Friday, 8AM–4:30PM, Holiday hours, Hours might differ, Saturday, 8AM–1PM, Holiday hours, Hours might differ, Sunday, Closed, Holiday hours, Hours might differ, Monday, 8AM–4:30PM, Holiday hours, Hours might differ, Tuesday, 8AM–4:30PM, Holiday hours, Hours might differ, Wednesday, 8AM–4:30PM, Holiday hours, Hours might differ",,,"4R72+8Q Ohrid, North Macedonia Copy plus code",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s8Rk-ev_hNkKDw6BsUQnAg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=312.82956&pitch=0&thumbfov=100, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s8Rk-ev_hNkKDw6BsUQnAg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=312.82956&pitch=0&thumbfov=100",NLBTutunskaBanks48stars4,e5751f19ed8e05feb74841395c1f508d,"[{'review_title': '', 'reviewer': 'Simeon Minev', 'review': 'Professional doing their job', 'review_age': '3 years ago'}, {'review_title': '', 'reviewer': 'AMS AL', 'review': 'Not bad.', 'review_age': '3 years ago'}, {'review_title': '', 'reviewer': 'Pavel Jovanoski', 'review': 'Bank.', 'review_age': '3 years ago'}]","['41.113363', '20.7996955']",20.7996955,41.113363,"https://www.google.com/maps/place/NLB+Tutunska+Banks/@41.113363,20.7996955,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dca153557ff7:0x1d50a503fd9c5775!8m2!3d41.1132895!4d20.8018397?authuser=0&hl=en",2021-11-11T14:50:44Z
Stopanska Banka - Ohrid Branch Office,3.5 stars,6 reviews,Bank,"Boulevard Turistichka, Ohrid 6000, North Macedonia",,"Closing soon:, 8:30AM–4PMThursday, 8:30AM–4PM, Holiday hours, Hours might differ, Friday, 8:30AM–4PM, Holiday hours, Hours might differ, Saturday, 8:30AM–4PM, Holiday hours, Hours might differ, Sunday, Closed, Holiday hours, Hours might differ, Monday, 8:30AM–4PM, Holiday hours, Hours might differ, Tuesday, 8:30AM–4PM, Holiday hours, Hours might differ, Wednesday, 8:30AM–4PM, Holiday hours, Hours might differ",stb.com.mk,38946257831,"4R83+P6 Ohrid, North Macedonia Copy plus code",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mBP6yojDZGiYSPC-piCiyg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=36.00137&pitch=0&thumbfov=100, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mBP6yojDZGiYSPC-piCiyg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=36.00137&pitch=0&thumbfov=100",StopanskaBankaOhridBranchOffice35stars6,c7585c05a8ec576e0f93372609ec16bd,"[{'review_title': '', 'reviewer': 'Trajce Sokoloski', 'review': '(Translated by Google) ok e\na little slow or that e\nthe staff is ok …', 'review_age': 'a year ago'}, {'review_title': '', 'reviewer': 'Pavel Jovanoski', 'review': '(Translated by Google) The branch office\n\n(Original)\nEkspozitura', 'review_age': '4 years ago'}, {'review_title': '', 'reviewer': 'kliment krstov', 'review': '', 'review_age': '3 years ago'}]","['41.1168577', '20.8009154']",20.8009154,41.1168577,"https://www.google.com/maps/place/Stopanska+Banka+-+Ohrid+Branch+Office/@41.1168577,20.8009154,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dca1f242bcad:0xff2e0b63f786e4e9!8m2!3d41.1168789!4d20.8031164?authuser=0&hl=en",2021-11-11T14:51:00Z
