title,rating,review_count,rating_category,address,located_in,working_hours,website,phone,plus_code,popular_hours_of_today,photos,keycontent,id,reviews,geo_location,longitude,latitude,url,timestamp
Golden Beach,3.6 stars,92 reviews,Beach,"Ohrid, North Macedonia",,,,,,,"https://lh5.googleusercontent.com/p/AF1QipOR3IBd_IMMfTgH4GdVkEg7qB4OugJnhohGxgJh=w529-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipOmvnYGobC4PLzPFfkZI1AOXCBmuxigy5WAWLpY=w224-h398-k-no",GoldenBeach36stars92,5b0af6d1ee801695b3263c453ad846cf,"[{'review_title': '', 'reviewer': 'Helen Scott', 'review': 'Not golden, not really much beach either.', 'review_age': '2 months ago'}, {'review_title': '', 'reviewer': 'Boban Boskovski', 'review': 'Selection of people who can enter!!! Been all over the world never seen this....🤮🤬👎', 'review_age': '3 months ago'}, {'review_title': '', 'reviewer': 'Ivica Aleksovski', 'review': ""Very bad... Expensive, at the entrance, selection when you go in (they choose who can go in and who can't, 🤮shame), very unfriendly 👎👎👎"", 'review_age': '3 months ago'}]","['41.0901587', '20.7963386']",20.7963386,41.0901587,"https://www.google.com/maps/place/Golden+Beach/@41.0901587,20.7963386,17z/data=!3m1!4b1!4m5!3m4!1s0x1350c3507e60c8ed:0x97b1fb096f26e52!8m2!3d41.0901678!4d20.7983886?authuser=0&hl=en",2021-11-11T15:00:36Z
My Grandparents House,5.0 stars,20 reviews,,"Ilindenska 47, Ohrid 6000, North Macedonia",,,booking.com,38970304797,"4Q7V+HJ Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipONs-mKs7wwaFyxs5WefEGkqKUZE1lUYHZW4Uxs=w529-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipM5yMsGjKGCAF93T7rN4nFmAyBagLn4au84I9Oo=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipOt9HEpbb-pXdmbvUEA9xh0My6yI3MVF68HhJ8K=w447-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GH2zVieDxQp5XbvVIeKy7A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=266.9184&pitch=0&thumbfov=100, https://lh5.googleusercontent.com/p/AF1QipMQ6UWjoNgB2ZZz5lV-RX54nMzA8YKpwB2SJqOu=w224-h398-k-no",MyGrandparentsHouse50stars20,bd4681179c292851b35fdbcb053e76bd,[],"['41.1139872', '20.7918183']",20.7918183,41.1139872,"https://www.google.com/maps/place/My+Grandparents+House/@41.1139872,20.7918183,17z/data=!3m1!4b1!4m8!3m7!1s0x1350dd42108d443b:0x46ac202d963a18b5!5m2!4m1!1i2!8m2!3d41.1139872!4d20.794007?authuser=0&hl=en",2021-11-11T15:00:47Z
Paragliding Tandem Flights Ohrid,4.9 stars,25 reviews,Tourist attraction,"Cuba Libre Beach Bar, Naum Ohridski 10A, Ohrid 6000, North Macedonia",,"Open now:, 9AM–6PMThursday, 9AM–6PM, Holiday hours, Hours might differ, Friday, 9AM–6PM, Holiday hours, Hours might differ, Saturday, 9AM–6PM, Holiday hours, Hours might differ, Sunday, 9AM–6PM, Holiday hours, Hours might differ, Monday, 9AM–6PM, Holiday hours, Hours might differ, Tuesday, 9AM–6PM, Holiday hours, Hours might differ, Wednesday, 9AM–6PM, Holiday hours, Hours might differ",paraglidingohrid.com,38975281090,"4R24+GC Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipO6B14_frQif7p4n1cbyRGTW0JKL5mskt9Vrp8F=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMTFURqH1VfMBQhEVS3KaxvKchGabUoLIcmpbu8=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNjI3ydJOgeePJSGxNzLF51ylbQejQ2r8nUtT9z=w496-h298-k-no",ParaglidingTandemFlightsOhrid49stars25,845fc435b59f5af0e663eaf0df3f3645,"[{'review_title': '', 'reviewer': 'Przemek Gawryluk', 'review': 'The whole experience is worth it. First of all swift communication. Quick and straightforward information about ""how?"" and ""when?"". Then the trip up the hill in an off-road car. It could be an excursion by itself. Finally the paragliding. The view is magnificent and the staff really helpful. Kudos!', 'review_age': '2 months ago'}, {'review_title': '', 'reviewer': 'Indy van Boxem', 'review': 'We had a great time paragliding! The people were really friendly and helpful. It was a great experience for the first time, the view was amazing. We highly recommend!', 'review_age': '2 months ago'}, {'review_title': '', 'reviewer': 'Anisa Beçoku', 'review': ""It was one of the best experiences  I've  had! The pilots were great and very careful! I highly  recommend  it. It will be a great pleasure  for anyone who tries paragliding"", 'review_age': '3 months ago'}]","['41.1013301', '20.8039227']",20.8039227,41.1013301,"https://www.google.com/maps/place/Paragliding+Tandem+Flights+Ohrid/@41.1013301,20.8039227,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dcaa4278ec37:0xf85fd941317e66f1!8m2!3d41.1013301!4d20.8061114?authuser=0&hl=en",2021-11-11T15:00:56Z
Restaurant Bonanza,4.1 stars,402 reviews,Restaurant,"Sveti Stefan, Ohrid, North Macedonia",,"Open now:, 8AM–1AMThursday, 8AM–1AM, Holiday hours, Hours might differ, Friday, 8AM–1AM, Holiday hours, Hours might differ, Saturday, 8AM–1AM, Holiday hours, Hours might differ, Sunday, 8AM–1AM, Holiday hours, Hours might differ, Monday, 8AM–1AM, Holiday hours, Hours might differ, Tuesday, 8AM–1AM, Holiday hours, Hours might differ, Wednesday, 8AM–1AM, Holiday hours, Hours might differ",,38978438398,"3RG2+GH Sveti Stefan, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipMmoEAOgbvaofCwag4-QqRSQZaGkyjhV7zq-LJ_=w224-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipM1jNjhH5HQB1ehbzfxA0VEeS1mbN0tPDNx1510=w224-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipOPQWUm18RBV1pEzcHtmwqlOszOpxo-b5B0lc3k=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMaltNYv31aWXItL3_e24XsuNv8mRmwWxudtSIK=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipONIrwF8aI7sh-ETtlkcREH8Br6aIJnZAM2YcyW=w529-h298-k-no",RestaurantBonanza41stars402,adb99c98957e388287e7101723b55835,"[{'review_title': '', 'reviewer': 'Alexandar Risteski', 'review': 'Best location in Ohrid lake. Good service and nice employees. Visit.\nHigh recommendation.', 'review_age': '9 months ago'}, {'review_title': '', 'reviewer': 'Suzana Stankovic', 'review': 'Everything would be perfect, if the girl who works there could be a little kinder, even if she pretended to be.', 'review_age': 'a month ago'}, {'review_title': '', 'reviewer': 'Magdalena [Joveska] Ivanova', 'review': 'The beef stew was good, however the poorly educated staff has no idea how to serve it (they did not bring the add-ons for the beef stew which are garlic and vinegar). The staff is absolutely rude and have 0 professionalism - they are basically chasing away customers that want to rent the sunbeds which are absolutely overpriced!', 'review_age': '3 months ago'}]","['41.076373', '20.7992398']",20.7992398,41.076373,"https://www.google.com/maps/place/Restaurant+Bonanza/@41.076373,20.7992398,17z/data=!3m1!4b1!4m5!3m4!1s0x1350c3fb728e5b47:0xc2a62aa37e03a31e!8m2!3d41.076373!4d20.8014285?authuser=0&hl=en",2021-11-11T15:01:06Z
Restaurant Madera Beach,4.0 stars,186 reviews,Restaurant,"MK, Street Naum Ohridski 12B, Ohrid 6000, North Macedonia",,"Open now:, 9AM–12AMThursday, 9AM–12AM, Holiday hours, Hours might differ, Friday, 9AM–12AM, Holiday hours, Hours might differ, Saturday, 9AM–12AM, Holiday hours, Hours might differ, Sunday, 9AM–12AM, Holiday hours, Hours might differ, Monday, 9AM–12AM, Holiday hours, Hours might differ, Tuesday, 9AM–12AM, Holiday hours, Hours might differ, Wednesday, 9AM–12AM, Holiday hours, Hours might differ",business.site,38975571457,"3RX3+8M Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipM5xfJw2Dwduq0oNiHM1HuIQ5HGjBlcTQdUFujq=w447-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNFUqYoAWUIg5P_MHUm-ZLHpCLlLCjGOM2YZuaY=w298-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNp0sdEsDM0jGY5-Tv-q6RafynYQRIkvhR3RNt6=w224-h336-k-no, https://lh5.googleusercontent.com/p/AF1QipOkgy5n0Tkwf7F8QD15cki3cogRjvsagQ0fejWl=w447-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipPZh6pSh9igVS1RU5NMdwos77H5PHe4DkKQ6lsv=w224-h336-k-no",RestaurantMaderaBeach40stars186,15f289cc7286df19292d8ee4cea07d31,"[{'review_title': '', 'reviewer': 'Rebeca Perla Hanssen', 'review': 'Amazing view! Good food.', 'review_age': '7 months ago'}, {'review_title': '', 'reviewer': 'Alex Bulaniy', 'review': ""Great pancake with bananas and chocolate with coffee machiatto. And the view! It's off city center so less people are crowding around (especially these days)"", 'review_age': '8 months ago'}, {'review_title': '', 'reviewer': 'Foody Guy', 'review': 'A wonderful small restaurant on the lakefront. I dropped in for a quick lunch and ordered the fish stew. It was more aligned to being a fish soup but delicious non the less. I will be coming again for a full dinner in the near future.', 'review_age': '2 years ago'}]","['41.0982818', '20.8020505']",20.8020505,41.0982818,"https://www.google.com/maps/place/Restaurant+Madera+Beach/@41.0982818,20.8020505,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dca7e441d747:0x4b1a1befefde4f71!8m2!3d41.0982818!4d20.8042392?authuser=0&hl=en",2021-11-11T15:01:15Z
Beach Gradishte 4,3.7 stars,7 reviews,Beach,North Macedonia,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOweNzBbl-0BDOnse1ZfZEDBatjffVgAzuwS-2b=w408-h306-k-no,BeachGradishte437stars7,77f945f642629a064d63a45dbad36cee,"[{'review_title': '', 'reviewer': 'Deni Gorgievski', 'review': 'You are noT in Ohrid😊', 'review_age': 'a year ago'}, {'review_title': '', 'reviewer': 'zoran trajkoski', 'review': '', 'review_age': '4 years ago'}, {'review_title': '', 'reviewer': 'Dzenan Hajrovic', 'review': '', 'review_age': '2 months ago'}]","['41.0012876', '20.8012292']",20.8012292,41.0012876,"https://www.google.com/maps/place/Beach+Gradishte+4/@41.0012876,20.8012292,17z/data=!3m1!4b1!4m5!3m4!1s0x1350c13593b1fe6d:0xe2fcb44119f005e5!8m2!3d41.0012375!4d20.8034176?authuser=0&hl=en",2021-11-11T15:01:24Z
Nensi Beach Ohrid,5.0 stars,2 reviews,Public beach,"5Q24+JFQ, Ohrid, North Macedonia",,,,,,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=i-v2rQ_57hbNdUrb-dCS1Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=249.02052&pitch=0&thumbfov=100, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=i-v2rQ_57hbNdUrb-dCS1Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=249.02052&pitch=0&thumbfov=100",NensiBeachOhrid50stars2,2f37e1a297f15cbe2b19470b4fd18107,"[{'review_title': '', 'reviewer': 'Zivko Belkokeski', 'review': '(Translated by Google) Very nice\n\n(Original)\nMnogu ubavo', 'review_age': 'a year ago'}, {'review_title': '', 'reviewer': 'dean mitrev', 'review': '', 'review_age': 'a year ago'}]","['41.151593', '20.7540373']",20.7540373,41.151593,"https://www.google.com/maps/place/Nensi+Beach+Ohrid/@41.151593,20.7540373,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dd8ea9b51b17:0x19973ceb70604ee7!8m2!3d41.151593!4d20.756226?authuser=0&hl=en",2021-11-11T15:01:32Z
Jungle Beach,4.4 stars,59 reviews,Bar,"2R23+576, Р501, North Macedonia",,"Open now:, 10AM–6PMThursday, 10AM–6PM, Holiday hours, Hours might differ, Friday, 10AM–10PM, Holiday hours, Hours might differ, Saturday, 10AM–10PM, Holiday hours, Hours might differ, Sunday, 10AM–6PM, Holiday hours, Hours might differ, Monday, 10AM–6PM, Holiday hours, Hours might differ, Tuesday, 10AM–6PM, Holiday hours, Hours might differ, Wednesday, 10AM–6PM, Holiday hours, Hours might differ",facebook.com,,,,"https://lh5.googleusercontent.com/p/AF1QipOaolrcY8lxBX4-nxdijznbLNaq6e_blJuUp3SI=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipPp6t4A0yqWkxQMdNSEFXyrXkwHSUSoCA_XwWAo=w224-h398-k-no, https://lh5.googleusercontent.com/p/AF1QipN1cU426bMmVfKEtQvaq8E5FqCi8t9XNNmmZn5F=w397-h298-k-no",JungleBeach44stars59,a495bd83b10b764ca5bedfdc145604c9,"[{'review_title': '', 'reviewer': 'Stefania Z', 'review': 'Great beach, chill for younger people', 'review_age': '2 months ago'}, {'review_title': '', 'reviewer': 'Dario Martinovski (TBF)', 'review': ""The place is pretty cool. The service is nice, but it's pretty expensive. The beach is ok, it's rocky. There was also great music, loved it."", 'review_age': '3 months ago'}, {'review_title': '', 'reviewer': 'Em', 'review': 'Amazing Relaxed place 👌', 'review_age': '2 months ago'}]","['41.0004185', '20.8009457']",20.8009457,41.0004185,"https://www.google.com/maps/place/Jungle+Beach/@41.0004185,20.8009457,17z/data=!3m1!4b1!4m5!3m4!1s0x1350c1a314ebf913:0xbb1d66bb7bbaf1fe!8m2!3d41.0004185!4d20.8031344?authuser=0&hl=en",2021-11-11T15:01:41Z
Queens Park Golden Beach,,,Apartment complex,"Naum Ohridski 10a Ohrid, 6000, North Macedonia",,"Open now:, Open 24 hoursThursday, Open 24 hours, Holiday hours, Hours might differ, Friday, Open 24 hours, Holiday hours, Hours might differ, Saturday, Open 24 hours, Holiday hours, Hours might differ, Sunday, Open 24 hours, Holiday hours, Hours might differ, Monday, Open 24 hours, Holiday hours, Hours might differ, Tuesday, Open 24 hours, Holiday hours, Hours might differ, Wednesday, Open 24 hours, Holiday hours, Hours might differ",,38977646476,"3QQX+XJ Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipNcpNBCdOdX1swuEW6m32MPnUWTmIl5TTiURxTo=w224-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipP3m6Bifz81PgK3P3B5AojBwhsq4Ak9vU9WZT7Z=w224-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNcpNBCdOdX1swuEW6m32MPnUWTmIl5TTiURxTo=w224-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMH1iLMFc-BcyuGC9zyPBuwRLVA_QV0BNhFwcAK=w224-h298-k-no",QueensParkGoldenBeach,99e36d5ca1f693668277b05be47ea0b0,[],"['41.0899726', '20.7968429']",20.7968429,41.0899726,"https://www.google.com/maps/place/Queens+Park+Golden+Beach/@41.0899726,20.7968429,17z/data=!3m1!4b1!4m5!3m4!1s0x1350c30ba29bcddf:0x607242af4bb4d688!8m2!3d41.089919!4d20.7991005?authuser=0&hl=en",2021-11-11T15:01:50Z
Apartments Park-S,4.4 stars,10 reviews,Holiday apartment,"501 Ohrid, Ohrid, North Macedonia",,,booking.com,38970261669,"3QRX+3P Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipOOfNxPf72oqsmcn99FiE9cqA7RhU1u1rmLZZy2=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipObH6Z1uNxdZBKhrR8CYQt-Kq6P5mHpZcR34_Lk=w224-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNGS5KbTHhBAUgfNyVCif4WPAInp6IcP7dur3z7=w530-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipP23bK1aK_wJs-cnrBcOwFZybx37WJzZ4wp6AN8=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipN_buRMp15kSmXcLxyB2FE2iN47GpLZfFDwb5x_=w397-h298-k-no",ApartmentsParkS44stars10,262a4fcd4167e190c922240608d01a84,"[{'review_title': '', 'reviewer': 'Özkan KAHYA', 'review': '(Translated by Google) We had a holiday here with my family for 2 years in a row. The lake is very clean, the facility is in a good and very beautiful location. You can walk from the lake side and have a wonderful trip to the center of …', 'review_age': 'a year ago'}, {'review_title': '', 'reviewer': 'Marija', 'review': '(Translated by Google) Magnificent view of the beach. The clean and bright room. The private beach right next door. Slavica is super sweet. We will come back with pleasure! Thank you …', 'review_age': '5 years ago'}, {'review_title': '', 'reviewer': 'Slawomir S', 'review': '(Translated by Google) Clean lake, very nice beach, not far from the old town of Ohrid, good quality apartments. …', 'review_age': '4 years ago'}]","['41.090233', '20.7971785']",20.7971785,41.090233,"https://www.google.com/maps/place/Apartments+Park-S/@41.090233,20.7971785,17z/data=!3m1!4b1!4m5!3m4!1s0x1350c3508322cbbb:0xb33254754abb8b5f!8m2!3d41.0903317!4d20.799519?authuser=0&hl=en",2021-11-11T15:01:59Z
