title,rating,review_count,rating_category,address,located_in,working_hours,website,phone,plus_code,popular_hours_of_today,photos,keycontent,id,reviews,geo_location,longitude,latitude,url,timestamp
Okta Gas Station,4.2 stars,50 reviews,Gas station,"Novo Selo, Debarca E65 Ново Село MK, 6000, North Macedonia",,"Open now:, Open 24 hoursThursday, Open 24 hours, Holiday hours, Hours might differ, Friday, Open 24 hours, Holiday hours, Hours might differ, Saturday, Open 24 hours, Holiday hours, Hours might differ, Sunday, Open 24 hours, Holiday hours, Hours might differ, Monday, Open 24 hours, Holiday hours, Hours might differ, Tuesday, Open 24 hours, Holiday hours, Hours might differ, Wednesday, Open 24 hours, Holiday hours, Hours might differ",okta-elpe.com,38946286543,"8Q4X+49 Botun, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipO22rQ6vRgoR-JutPcp1cZqOmKrYosfi4g_euDg=w476-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNOA-jl9SkCKzI4mcSnqsDS-E0mAs_01Xi5hrM1=w529-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipOSleSe6ba4f4f_bzVF-tEsI_tdU1OuiW40hOzy=w529-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipO3NtMgJPdTr3Swm30iQrod6HImmVOUBwn5TgmF=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipO22rQ6vRgoR-JutPcp1cZqOmKrYosfi4g_euDg=w476-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=INdFlyBsf2bky4nKvDHjbg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=92.363884&pitch=0&thumbfov=100",OktaGasStation42stars50,f4f49d889fc227ea57ec9cebe00fd230,"[{'review_title': '', 'reviewer': 'Damjan Bogdanovski', 'review': 'Best fuel quality. Very kind staff.', 'review_age': '10 months ago'}, {'review_title': '', 'reviewer': 'Bogoslav Janceski', 'review': 'Good service', 'review_age': '11 months ago'}, {'review_title': '', 'reviewer': 'Goce Kuzeski', 'review': 'Nice place', 'review_age': '2 years ago'}]","['41.3053093', '20.796281']",20.796281,41.3053093,"https://www.google.com/maps/place/Okta+Gas+Station/@41.3053093,20.796281,17z/data=!3m1!4b1!4m5!3m4!1s0x13512130e0950e07:0x2763309b6bc02b5f!8m2!3d41.3053093!4d20.7983749?authuser=0&hl=en",2021-11-11T15:08:55Z
Bus Stop,3.7 stars,51 reviews,Bus company,"Р501 67-66, Ohrid, North Macedonia",,,,,"4R83+FH Ohrid, North Macedonia Copy plus code",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=p373_UaD9Ne8L3fwpVKAbA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=217.93874&pitch=0&thumbfov=100, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=p373_UaD9Ne8L3fwpVKAbA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=217.93874&pitch=0&thumbfov=100",BusStop37stars51,af34c5a1806690fdd2ba08620225f3ed,"[{'review_title': '', 'reviewer': 'DarU D.', 'review': 'Needs improvement.The local bus companies should put a schedule for the busses that are driving to the beach.The buses that go to Gradishte are rejecting the people which are travelling to the near beach places even they are driving that …', 'review_age': '3 months ago'}, {'review_title': '', 'reviewer': 'Marjan Kjurinov', 'review': ""The ride is on time, but even if you get there outside of the scheduled timeslots, it's possible to get picked up from local taxis or minibuses passing by."", 'review_age': 'a month ago'}, {'review_title': '', 'reviewer': 'Vladimir Medic', 'review': 'There are too many places you are allowed to rate at google🤣', 'review_age': '2 months ago'}]","['41.1161514', '20.8017942']",20.8017942,41.1161514,"https://www.google.com/maps/place/Bus+Stop/@41.1161514,20.8017942,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dde1864e936f:0xf504857cc2983a8f!8m2!3d41.1161514!4d20.8039829?authuser=0&hl=en",2021-11-11T15:09:04Z
Eko Petrol,4.2 stars,25 reviews,Gas station,"E65 A2, North Macedonia",,,,38946200014,"6QJ9+76 Mesheishta, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipPXwA5R64wSF8SE7eywSMa-8m1kxy-4ek1cjSDr=w224-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMLuU_PBHIkkbaA5Iwnsgkw-k8z7HqeVjbVBWbq=w448-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNcOdeWdA0Oljc9jz_QDB2qACapo2qUBS0b5E_a=w397-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bBmPowyxndetOtnnD5kmaw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=238.42712&pitch=0&thumbfov=100",EkoPetrol42stars25,427bb1e1907e6af9da901cde1fda2758,"[{'review_title': '', 'reviewer': 'Damjan Bogdanovski', 'review': 'Cheep LPG. Kind staff.', 'review_age': 'a month ago'}, {'review_title': '', 'reviewer': 'Ibn Taat', 'review': 'Take a rest on our way to Albania', 'review_age': '3 years ago'}, {'review_title': '', 'reviewer': 'Pavel Jovanoski', 'review': '(Translated by Google) Gas station.\n\n(Original)\nBenziska pumpa.', 'review_age': '2 months ago'}]","['41.2306353', '20.7658231']",20.7658231,41.2306353,"https://www.google.com/maps/place/Eko+Petrol/@41.2306353,20.7658231,17z/data=!3m1!4b1!4m5!3m4!1s0x1350df0f62809c6b:0x999b2c1cae152c3d!8m2!3d41.2306353!4d20.7680118?authuser=0&hl=en",2021-11-11T15:09:14Z
KMR Petrol,4.5 stars,4 reviews,Gas station,"E852, Struga 6330, North Macedonia",,,,38946784715,"5MF3+9V Struga, North Macedonia Copy plus code",,//maps.gstatic.com/tactile/pane/default_geocode-1x.png,KMRPetrol45stars4,17586f97e1a44bb35340ff8d580e5c54,"[{'review_title': '', 'reviewer': 'Yusry Zainol', 'review': '', 'review_age': '2 years ago'}, {'review_title': '', 'reviewer': 'Krste Biljan', 'review': '', 'review_age': '5 years ago'}, {'review_title': '', 'reviewer': 'Zlatko Mileski', 'review': '', 'review_age': '5 years ago'}]","['41.173437', '20.6524403']",20.6524403,41.173437,"https://www.google.com/maps/place/KMR+Petrol/@41.173437,20.6524403,17z/data=!3m1!4b1!4m5!3m4!1s0x1350e6fae9a6ac0b:0x25511b65fe6cdc68!8m2!3d41.173437!4d20.654629?authuser=0&hl=en",2021-11-11T15:09:32Z
Galeb Bus Ticket Office,5.0 stars,6 reviews,Bus ticket agency,"Center, Ohrid, North Macedonia",,"Temporarily closedHoliday hours, Hours might differ",,,"4R72+FQ Ohrid, North Macedonia Copy plus code",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=stNKY6d8ok3EDGgdg8LGeA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=291.55557&pitch=0&thumbfov=100, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=stNKY6d8ok3EDGgdg8LGeA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=291.55557&pitch=0&thumbfov=100",GalebBusTicketOffice50stars6,0c9d73f427fd42824e4b92aa7e3af55d,"[{'review_title': '', 'reviewer': 'Spusella Lo', 'review': ""You can buy tickets for Galeb bus company destinations here (for example to Skopje). If you have a ticket, you don't have to go out to the main bus station, but can hop on the bus at Tamaro bus stop instead. This will safe you a tiny fee that the operators of the main bus station charge for using the main station."", 'review_age': '3 years ago'}, {'review_title': '', 'reviewer': 'Claudiu', 'review': ""It's near the centre of the town, helpful staff who speak decent English. You can pay cash or credit card"", 'review_age': '2 years ago'}, {'review_title': '', 'reviewer': 'Tereza Krcoska - ex Babamova', 'review': 'Helpful staff; easy access in the city centre', 'review_age': '2 years ago'}]","['41.1136881', '20.7997728']",20.7997728,41.1136881,"https://www.google.com/maps/place/Galeb+Bus+Ticket+Office/@41.1136881,20.7997728,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dca1541da13b:0x388344841674ca19!8m2!3d41.113702!4d20.8019267?authuser=0&hl=en",2021-11-11T15:09:58Z
Avtobuska Ohrid / Bus Station,3.9 stars,243 reviews,Bus ticket agency,"Klenoec, Ohrid, North Macedonia",,,delfinaturs.com.mk,38946253573,"4RF6+WP Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipOWwOsBjiL7n54tB5hH7Cem-CpcPAvsBe2Pvw9R=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipN3l_idy9VnKYLK8jK-LsHirs8exfKiL7QFOnx3=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipOUOErdBWU1fphrdSCNEtW6wTxjRD84Z1XDigmO=w397-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fpmlFSWkF2yYvtr9s4qkVg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=322.41904&pitch=0&thumbfov=100",AvtobuskaOhrid/BusStation39stars243,7529fe46a05f46a3744bf8c374dcfd95,"[{'review_title': '', 'reviewer': 'Joie Lou', 'review': 'Bus from Ohrid to Tirana 1,050 MCD per person. If you pay by card you slip your card to the cashier and she asks you for your pin out loud (they did the same to the Macedonian local in front of me so just went along with it). …', 'review_age': 'a month ago'}, {'review_title': '', 'reviewer': 'Cynthia Rignanese: Rignanese & Associates Law', 'review': 'Efficient and clean bus station.\n\nIt is NOT convenient to the lake, so arrange transportvia your guesthouse. …', 'review_age': '3 weeks ago'}, {'review_title': '', 'reviewer': 'kalinchuck', 'review': ""If you are thinking of traveling by bus in Macedonia keep in mind that it's absolutely tourist unfriendly service.\nIf you buy return tickets you have to pay extra for return at the bus station. …"", 'review_age': '2 weeks ago'}]","['41.1247705', '20.8096072']",20.8096072,41.1247705,"https://www.google.com/maps/place/Avtobuska+Ohrid+%2F+Bus+Station/@41.1247705,20.8096072,17z/data=!3m1!4b1!4m5!3m4!1s0x1350db636c3d86af:0xa1b887f537d7b644!8m2!3d41.1247699!4d20.8117719?authuser=0&hl=en",2021-11-11T15:10:35Z
Besjani Petrol,4.4 stars,173 reviews,Gas station,"E852, Podmolje 6330, North Macedonia",,"Open now:, Open 24 hoursThursday, Open 24 hours, Holiday hours, Hours might differ, Friday, Open 24 hours, Holiday hours, Hours might differ, Saturday, Open 24 hours, Holiday hours, Hours might differ, Sunday, Open 24 hours, Holiday hours, Hours might differ, Monday, Open 24 hours, Holiday hours, Hours might differ, Tuesday, Open 24 hours, Holiday hours, Hours might differ, Wednesday, Open 24 hours, Holiday hours, Hours might differ",besjani.com,38971233217,"5P8M+PH Podmolje, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipNSAD9S_l7hlCoLRI_GcGifY4XRELzrt--Qa2A_=w529-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMUXq9FsdBBUOaWHk3PYAvOkhkfIaq3cE1gUsqJ=w529-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNOzmAotVDApWuUXRU1MlExw_Z9gnQAIwaodPl0=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNszLgvflFaRu4BtWXTYW1ETv1N8cbPS1zX4vDV=w416-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipOeVxPGyFJuCvVlCpxTLtkDcqJ9RfoNFha_31Jk=w529-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipP34a_9JBWVK0j1_uLgRdGV944zBur6tZsa6Emr=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMP6WzME080jBx25JVvD3gWZOemnJQac_flE0Yg=w529-h298-k-no",BesjaniPetrol44stars173,36ac75e5bfa9f791f6986e4e6ccaa9a5,"[{'review_title': '', 'reviewer': 'erii', 'review': 'The best quality and good service', 'review_age': 'a month ago'}, {'review_title': '', 'reviewer': 'emiljan skura', 'review': 'The best gas station in the region.', 'review_age': '2 months ago'}, {'review_title': '', 'reviewer': 'Pavel Sugak', 'review': 'A very good gas station!', 'review_age': '2 months ago'}]","['41.1668645', '20.7317695']",20.7317695,41.1668645,"https://www.google.com/maps/place/Besjani+Petrol/@41.1668645,20.7317695,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dd95a799d93b:0xd455aec1c2fce449!8m2!3d41.1668645!4d20.7339582?authuser=0&hl=en",2021-11-11T15:10:47Z
Deltron dooel,,,Alternative fuel station,"Abaz Emin 178, Ohrid, North Macedonia",,"Open now:, 9a.m.–8p.m.Thursday, 9a.m.–8p.m., Holiday hours, Hours might differ, Friday, 9a.m.–8p.m., Holiday hours, Hours might differ, Saturday, 9a.m.–3p.m., Holiday hours, Hours might differ, Sunday, Closed, Holiday hours, Hours might differ, Monday, 9a.m.–8p.m., Holiday hours, Hours might differ, Tuesday, 9a.m.–8p.m., Holiday hours, Hours might differ, Wednesday, 9a.m.–8p.m., Holiday hours, Hours might differ",,38971231836,"4RF3+FM Ohrid, North Macedonia Copy plus code",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2NeICU-10nfzdOug4fGcDA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=123.18189&pitch=0&thumbfov=100, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2NeICU-10nfzdOug4fGcDA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=123.18189&pitch=0&thumbfov=100",Deltrondooel,8f0b8d3560ac7de79999ee310902fbcb,[],"['41.1237222', '20.8019535']",20.8019535,41.1237222,"https://www.google.com/maps/place/Deltron+dooel/@41.1237222,20.8019535,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dde51e6ca413:0xc631f497a176684f!8m2!3d41.1237292!4d20.8041084?authuser=0&hl=en",2021-11-11T15:11:05Z
BENZISKA PUMPA,,,Gas station,"BEJBUNAR. STRELISHTE I, Ohrid, North Macedonia",Located in: Strelishte Bejbunar,,,,"4R77+CH Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipP2uK6Qach0CfFPIF2GQsUlu_M7mQ_3uw_sybMa=w224-h398-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sX_diMmfhjzGManzzX-Cow&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=149.49246&pitch=0&thumbfov=100",BENZISKAPUMPA,ce0456ac0d08d6ce7214d72edc13e458,[],"['41.1135362', '20.8117101']",20.8117101,41.1135362,"https://www.google.com/maps/place/BENZISKA+PUMPA/@41.1135362,20.8117101,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dbe9a1aa0255:0x7f253d0b49bd8606!8m2!3d41.1135362!4d20.8138988?authuser=0&hl=en",2021-11-11T15:11:34Z
OKTA,4.2 stars,89 reviews,Gas station,"Zheleznichka 4, Ohrid, North Macedonia",,"Open now:, Open 24 hoursThursday, Open 24 hours, Holiday hours, Hours might differ, Friday, Open 24 hours, Holiday hours, Hours might differ, Saturday, Open 24 hours, Holiday hours, Hours might differ, Sunday, Open 24 hours, Holiday hours, Hours might differ, Monday, Open 24 hours, Holiday hours, Hours might differ, Tuesday, Open 24 hours, Holiday hours, Hours might differ, Wednesday, Open 24 hours, Holiday hours, Hours might differ",okta-elpe.com,38946264485,"4RG7+9F Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipNxt5JTLHwXm3aSiczPd4majYD-H7DfsgWyPERL=w476-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNuvWb8mxBkDO2RO2CwSbueVa9UMt8XMpPt1y0Q=w529-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipP8BCdcPcD-ob1zloSoSNHrTTJfnQQhIkjzSnAt=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipPco1v8VxyRoRx4AEVco0uRKaPf8OWcRMm0slKr=w529-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMMjYnGTWgWK_grdjlUOQkFdtBtTYLy7AyRK6c4=w529-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNxt5JTLHwXm3aSiczPd4majYD-H7DfsgWyPERL=w476-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TuYP_vuaINNMS4XwHKVz_A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=334.35092&pitch=0&thumbfov=100",OKTA42stars89,1a20219eb377a016d9248a03432353b3,"[{'review_title': '', 'reviewer': 'Damjan Bogdanovski', 'review': 'The best fuel quality in Macedonia.', 'review_age': 'a year ago'}, {'review_title': '', 'reviewer': 'Nikolina Dragovic', 'review': 'Modern', 'review_age': '2 years ago'}, {'review_title': '', 'reviewer': 'goce ananievski', 'review': 'Good cofe', 'review_age': '5 years ago'}]","['41.1259485', '20.811452']",20.811452,41.1259485,"https://www.google.com/maps/place/OKTA/@41.1259485,20.811452,17z/data=!3m1!4b1!4m5!3m4!1s0x1350db7b55952cf9:0x8e8174528cbd246a!8m2!3d41.1260462!4d20.813655?authuser=0&hl=en",2021-11-11T15:11:44Z
