title,rating,review_count,rating_category,address,located_in,working_hours,website,phone,plus_code,popular_hours_of_today,photos,keycontent,id,reviews,geo_location,longitude,latitude,url,timestamp
Tinex Supermarket,4.2 stars,270 reviews,Supermarket,"Boulevard Macedonian Educators, Ohrid 6000, North Macedonia",Located in: Complex Letnitsa,"Open now:, 8AM–9:30PMThursday, 8AM–9:30PM, Holiday hours, Hours might differ, Friday, 8AM–9:30PM, Holiday hours, Hours might differ, Saturday, 8AM–9:30PM, Holiday hours, Hours might differ, Sunday, 8AM–8PM, Holiday hours, Hours might differ, Monday, 8AM–9:30PM, Holiday hours, Hours might differ, Tuesday, 8AM–9:30PM, Holiday hours, Hours might differ, Wednesday, 8AM–9:30PM, Holiday hours, Hours might differ",tinex.mk,38946252930,"4Q7X+7X Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipOIkvB3PeKGg-mDn_dw_8Q_cNTcpYDIgil23QXg=w529-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipPqzp0UVmrXelMy3UaBfiZNe1fqw3Q_EYGlbBU-=w529-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xVjG1N0XwqrFO2cZuz51Gg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=275.08014&pitch=0&thumbfov=100",TinexSupermarket42stars270,d1fce651770f1012473a1cfdc3a4e8f5,"[{'review_title': '', 'reviewer': 'Sally Schmidt', 'review': 'Our favourite supermarket in Ohrid, always warm and friendly staff. A wide selection of all items and very fresh produce, also freshly topped up. …', 'review_age': '6 months ago'}, {'review_title': '', 'reviewer': 'Claudiu', 'review': 'Very well stocked, well organized and with friendly and helpful staff. Prices seem to me quite low given that Ohrid attracts so many tourists as compared to prices in Albania or Serbia that are far less in demand. I like the meat, cheese …', 'review_age': '2 years ago'}, {'review_title': '', 'reviewer': 'DarU D.', 'review': 'Busy place as it is in the centar of the town,the service could be better', 'review_age': '3 months ago'}]","['41.1132163', '20.797762']",20.797762,41.1132163,"https://www.google.com/maps/place/Tinex+Supermarket/@41.1132163,20.797762,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dca47263f575:0x226a5aeba85d5652!8m2!3d41.1132089!4d20.7999789?authuser=0&hl=en",2021-11-11T15:19:41Z
Ma Lamont,1.0 stars,1 review,Supermarket,"North Macedonia, Abaz Emin 13, Ohrid 6000",,"Open now:, 6:30AM–10PMThursday, 6:30AM–10PM, Holiday hours, Hours might differ, Friday, 6:30AM–10PM, Holiday hours, Hours might differ, Saturday, 6:30AM–10PM, Holiday hours, Hours might differ, Sunday, 6:30AM–10PM, Holiday hours, Hours might differ, Monday, 6:30AM–10PM, Holiday hours, Hours might differ, Tuesday, 6:30AM–10PM, Holiday hours, Hours might differ, Wednesday, 6:30AM–10PM, Holiday hours, Hours might differ",,,"4Q9X+5F Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipMS4rtuxkTLOHpc7obGM06lLVE-Cf_uwsVlQ58G=w397-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yc86OTNbolGL5AwKMNhhFw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=346.2357&pitch=0&thumbfov=100",MaLamont10stars1review,a8296e6991c52d9959cfbed79e886173,"[{'review_title': '', 'reviewer': 'RYUNOSUKE', 'review': ""Avoid this shop if you weren't locals.\nstaff tried to rip me off. one beer and one chips for over 300 mkd? no way."", 'review_age': 'a year ago'}]","['41.1178939', '20.7964459']",20.7964459,41.1178939,"https://www.google.com/maps/place/Ma+Lamont/@41.1178939,20.7964459,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dd49b62214d5:0x286371b36105a6b6!8m2!3d41.1178939!4d20.7986346?authuser=0&hl=en",2021-11-11T15:20:00Z
Stop Shop,3.7 stars,20 reviews,Supermarket,"Egejska, Ohrid, North Macedonia",,"Open now:, 8AM–10PMThursday, 8AM–10PM, Holiday hours, Hours might differ, Friday, 8AM–10PM, Holiday hours, Hours might differ, Saturday, 8AM–10PM, Holiday hours, Hours might differ, Sunday, 8AM–10PM, Holiday hours, Hours might differ, Monday, 8AM–10PM, Holiday hours, Hours might differ, Tuesday, 8AM–10PM, Holiday hours, Hours might differ, Wednesday, 8AM–10PM, Holiday hours, Hours might differ",,,"4RF4+2P Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipPFIybiph57KKAcx-DmksiY1XVl6cf4tMCRl8nk=w224-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipM4r8GyAYvs_xKJ6tC7Qa10Cy6IpvEdRcPIzZc6=w529-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NBNKhcncoIORR9s0esGBGQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=273.62943&pitch=0&thumbfov=100, https://lh5.googleusercontent.com/p/AF1QipPq4MMhjBkN9kKn7lE6toIbbyML4lx-GGxBnPdk=w529-h298-k-no",StopShop37stars20,5d3a8db9d4473a5a7d51ac494d2c21c9,"[{'review_title': '', 'reviewer': 'DEJAN MACEDONIAN', 'review': '24h shop good', 'review_age': '4 years ago'}, {'review_title': '', 'reviewer': 'Magda', 'review': 'Excellent', 'review_age': '4 years ago'}, {'review_title': '', 'reviewer': 'Tea Jordanovska', 'review': '(Translated by Google) They do not have much of a choice, in a season where there are a lot of tourists and you have no Radler, a big minus …', 'review_age': '2 years ago'}]","['41.1226019', '20.8046687']",20.8046687,41.1226019,"https://www.google.com/maps/place/Stop+Shop/@41.1226019,20.8046687,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dc9de51cff13:0x6323f95044c8addb!8m2!3d41.1226019!4d20.8068574?authuser=0&hl=en",2021-11-11T15:20:11Z
Bizim Inci,,,Grocery store,"Tsar Samoil 8, Ohrid 6000, North Macedonia",,"Open now:, 9AM–9PMThursday, 9AM–9PM, Holiday hours, Hours might differ, Friday, 9AM–9PM, Holiday hours, Hours might differ, Saturday, 9AM–9PM, Holiday hours, Hours might differ, Sunday, 9AM–9PM, Holiday hours, Hours might differ, Monday, 9AM–9PM, Holiday hours, Hours might differ, Tuesday, 9AM–9PM, Holiday hours, Hours might differ, Wednesday, 9AM–9PM, Holiday hours, Hours might differ",,38970735070,"4Q7X+49 Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipP4vzQwHzreI_tKB4TFrbRviOZOjlnbegXqWToF=w224-h398-k-no, https://lh5.googleusercontent.com/p/AF1QipPa848dNqwS9yLLOzc8IMtlJBocYg37HAqvVEdl=w224-h398-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WdmT08sAhY57exqBQY4t8w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=52.20566&pitch=0&thumbfov=100",BizimInci,9ae386bd0b1b4903584673b441acf8cc,[],"['41.1127949', '20.7962776']",20.7962776,41.1127949,"https://www.google.com/maps/place/Bizim+Inci/@41.1127949,20.7962776,17z/data=!3m1!4b1!4m5!3m4!1s0x1350ddd4f2eb11c5:0x4a339b26cd3fa343!8m2!3d41.1127949!4d20.7984663?authuser=0&hl=en",2021-11-11T15:20:21Z
Moni Trejd,5.0 stars,1 review,Supermarket,"Ohrid, North Macedonia",,"Open now:, 8AM–10PMThursday, 8AM–10PM, Holiday hours, Hours might differ, Friday, 8AM–10PM, Holiday hours, Hours might differ, Saturday, 8AM–10PM, Holiday hours, Hours might differ, Sunday, 8AM–10PM, Holiday hours, Hours might differ, Monday, 8AM–10PM, Holiday hours, Hours might differ, Tuesday, 8AM–10PM, Holiday hours, Hours might differ, Wednesday, 8AM–10PM, Holiday hours, Hours might differ",,,"4RG3+HX Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipNmBsVaKeZZP6rzPausy0NydIWAIdvi6uAI8hgc=w456-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-BQzO16fdqvPtWJI-MP9Eg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=268.70514&pitch=0&thumbfov=100",MoniTrejd50stars1review,a255217a2f2e8fc00d2720c7f8245651,"[{'review_title': '', 'reviewer': 'Risto Peroski', 'review': '', 'review_age': 'a year ago'}]","['41.1264976', '20.8028056']",20.8028056,41.1264976,"https://www.google.com/maps/place/Moni+Trejd/@41.1264976,20.8028056,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dd76b1d348cd:0xffeda702696f00bc!8m2!3d41.1264976!4d20.8049943?authuser=0&hl=en",2021-11-11T15:20:31Z
Kipper 50,3.4 stars,7 reviews,Grocery store,"Biljanini Izvori, Ohrid, North Macedonia",,,,,"4R56+Q9 Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipMWFypfdV-_Pj71UZswJoA7zVobHCbbkxyh0tkt=w224-h398-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RVNpueWnlJDWckRIZ5UBqA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=83.93222&pitch=0&thumbfov=100",Kipper5034stars7,5db85db69c4bfb00cd9e176086c9f4f0,"[{'review_title': '', 'reviewer': 'Toni Popov', 'review': 'Big supermarket with lots of things that i need and close by', 'review_age': '11 months ago'}, {'review_title': '', 'reviewer': 'Mia Arsovska', 'review': '🤔', 'review_age': '10 months ago'}, {'review_title': '', 'reviewer': 'ines ines', 'review': '(Translated by Google) use\n\n(Original)\nuzas', 'review_age': 'a year ago'}]","['41.1094046', '20.8087458']",20.8087458,41.1094046,"https://www.google.com/maps/place/Kipper+50/@41.1094046,20.8087458,17z/data=!3m1!4b1!4m5!3m4!1s0x1350db6f0c0ae771:0xa2cdeb9e2dd92e5!8m2!3d41.1094046!4d20.8109345?authuser=0&hl=en",2021-11-11T15:20:49Z
Don Primus,4.5 stars,17 reviews,Supermarket,"Vidobishta, Ohrid, North Macedonia",,"Open now:, 8AM–11PMThursday, 8AM–11PM, Holiday hours, Hours might differ, Friday, 8AM–11PM, Holiday hours, Hours might differ, Saturday, 8AM–11PM, Holiday hours, Hours might differ, Sunday, 8AM–11PM, Holiday hours, Hours might differ, Monday, 8AM–11PM, Holiday hours, Hours might differ, Tuesday, 8AM–11PM, Holiday hours, Hours might differ, Wednesday, 8AM–11PM, Holiday hours, Hours might differ",,38978411981,"4RCC+PX Ohrid, North Macedonia Copy plus code",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XZnnGYwaG9oxLV04Pbk-Tg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=213.06325&pitch=0&thumbfov=100, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XZnnGYwaG9oxLV04Pbk-Tg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=213.06325&pitch=0&thumbfov=100",DonPrimus45stars17,e19173b8dcf40c64437e6d1ca54c4dfb,"[{'review_title': '', 'reviewer': 'Simonoska Tatijana', 'review': '(Translated by Google) Best stocked market in Ohrid\n\n(Original) …', 'review_age': '2 years ago'}, {'review_title': '', 'reviewer': 'Simona Lathronniel', 'review': '', 'review_age': '2 years ago'}, {'review_title': '', 'reviewer': 'Goce S. KORG', 'review': '', 'review_age': 'a year ago'}]","['41.1217574', '20.8202501']",20.8202501,41.1217574,"https://www.google.com/maps/place/Don+Primus/@41.1217574,20.8202501,17z/data=!3m1!4b1!4m5!3m4!1s0x1350db6fab213379:0x3a8f5125762ced2b!8m2!3d41.1217574!4d20.8224388?authuser=0&hl=en",2021-11-11T15:21:13Z
DON,5.0 stars,2 reviews,Supermarket,"Sts. Cyril and Methodius 3, Ohrid, North Macedonia",,"Open now:, 8AM–9:30PMThursday, 8AM–9:30PM, Holiday hours, Hours might differ, Friday, 8AM–9:30PM, Holiday hours, Hours might differ, Saturday, 8AM–9:30PM, Holiday hours, Hours might differ, Sunday, 8AM–9:30PM, Holiday hours, Hours might differ, Monday, 8AM–9:30PM, Holiday hours, Hours might differ, Tuesday, 8AM–9:30PM, Holiday hours, Hours might differ, Wednesday, 8AM–9:30PM, Holiday hours, Hours might differ",,,"4Q8X+Q4 Ohrid, North Macedonia Copy plus code",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dxqSV4UTCi7SMBk3EJzNKA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=343.45682&pitch=0&thumbfov=100, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dxqSV4UTCi7SMBk3EJzNKA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=343.45682&pitch=0&thumbfov=100",DON50stars2,2316379f4a86673041cd79de2ac417c8,"[{'review_title': '', 'reviewer': 'Catalin Pletea', 'review': '(Translated by Google) Okay, open late\n\n(Original)\nOk, deschis pana târziu', 'review_age': '2 years ago'}, {'review_title': '', 'reviewer': 'Dejan Drijovski', 'review': '', 'review_age': '5 days ago'}]","['41.1168878', '20.7956207']",20.7956207,41.1168878,"https://www.google.com/maps/place/DON/@41.1168878,20.7956207,17z/data=!3m1!4b1!4m5!3m4!1s0x1350ddd5c37a3439:0x2517d6be1d32de39!8m2!3d41.1168878!4d20.7978094?authuser=0&hl=en",2021-11-11T15:21:22Z
Top Market,4.5 stars,21 reviews,Supermarket,"ul.Dame Gruev br.2, Ohrid 6000, North Macedonia",,"Open now:, 8AM–10PMThursday, 8AM–10PM, Holiday hours, Hours might differ, Friday, 8AM–10PM, Holiday hours, Hours might differ, Saturday, 8AM–10PM, Holiday hours, Hours might differ, Sunday, 8AM–10PM, Holiday hours, Hours might differ, Monday, 8AM–10PM, Holiday hours, Hours might differ, Tuesday, 8AM–10PM, Holiday hours, Hours might differ, Wednesday, 8AM–10PM, Holiday hours, Hours might differ",,38975453849,"4R82+C6 Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipMyUvQ6hYUg85z_ikRJ0Ecku4MJCRexcIT6YYP_=w298-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMyUvQ6hYUg85z_ikRJ0Ecku4MJCRexcIT6YYP_=w298-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jemBqMsv060I9piCEgF0Eg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=263.7277&pitch=0&thumbfov=100",TopMarket45stars21,1897b4c7022773d994140112392ec636,"[{'review_title': '', 'reviewer': 'Eero-Jaak Vaitmaa', 'review': 'Some needed food stuff not present...\nOtherwise and overall - okay selection of most needed stuff...', 'review_age': '2 years ago'}, {'review_title': '', 'reviewer': 'Mikołaj Żaczek', 'review': '(Translated by Google) Great store, good prices. I recommend\n\n(Original) …', 'review_age': '2 months ago'}, {'review_title': '', 'reviewer': '遼大', 'review': ""(Translated by Google) There is no bread. Other than that, it's all.\n\n(Original)\nパンがない。それ以外は一通り。"", 'review_age': '2 years ago'}]","['41.116078', '20.7983593']",20.7983593,41.116078,"https://www.google.com/maps/place/Top+Market/@41.116078,20.7983593,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dd9956387d13:0xc6a933d25fd7f323!8m2!3d41.116078!4d20.800548?authuser=0&hl=en",2021-11-11T15:21:54Z
Ideal Market,,,Grocery store,"Dame Gruev 104, Охрид 6000, North Macedonia",,,,,"4R84+24 Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipPRe_6LqRU1M6Vxhtw3z-qSQsfdNljpgCtof8PH=w224-h398-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8ci632rdevfesa3iVofQZw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=217.81079&pitch=0&thumbfov=100",IdealMarket,3cf4cb750f452eb149956e625fcb9c0e,[],"['41.1150319', '20.8031809']",20.8031809,41.1150319,"https://www.google.com/maps/place/Ideal+Market/@41.1150319,20.8031809,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dd86c5a93e39:0xa3229a6329fc8a2!8m2!3d41.1150319!4d20.8053696?authuser=0&hl=en",2021-11-11T15:22:03Z
