title,rating,review_count,rating_category,address,located_in,working_hours,website,phone,plus_code,popular_hours_of_today,photos,keycontent,id,reviews,geo_location,longitude,latitude,url,timestamp
Hotel Tino Sveti Stefan,4.6 stars,750 reviews,,"Naselba Sveti Stefan, 6000, North Macedonia",,,hoteltinosvstefan.com,38946209340,"3RG3+CC Sveti Stefan, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipPqQXQpb2s-8I9oiXx4SohJ4W659yio4xb_l4A=w445-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNs5O4DSmjqsRczvXKG_lWhXO3mRA18N7tAiCJ3=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipPIEFHBZyICaQMFOBrHFklQkQrZm8X2snvMwLY7=w224-h298-k-no-pi-0-ya354.06268-ro-0-fo100, https://lh5.googleusercontent.com/p/AF1QipN97b3u1I-kBMoxuu8ICflZPG3YlX5HKluyH-MI=w530-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMbOHwbr0mrhhzgRHJobROQWieXKZnbQCvfZGk=w529-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipOde9dWhLximGK3RrxHhVjocaAhPPuJE21lb33h=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNHd8OOIcVVV7PU7pkEYZ6gZbjSwi5GZBMxM99p=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipM-_oIxAS6v8eOnSs4Uc8ukylQTnDqPw12iKQw=w447-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipOkAB2axlagGrjz2z7bzPBwwMB4cqge12S409KB=w224-h298-k-no-pi-10-ya76.91734-ro-0-fo100, https://lh5.googleusercontent.com/p/AF1QipODbLEVzS1ZtNG46ETIb-Fou0w8ApMNmaRlWP4W=w529-h298-k-no",HotelTinoSvetiStefan46stars750,282257f2282cb11a9f6eed18d0f07b61,[],"['41.0760949', '20.8014321']",20.8014321,41.0760949,"https://www.google.com/maps/place/Hotel+Tino+Sveti+Stefan/@41.0760949,20.8014321,17z/data=!3m1!4b1!4m8!3m7!1s0x1350c3611117153b:0x84c34dab510b125b!5m2!4m1!1i2!8m2!3d41.0760949!4d20.8036208?authuser=0&hl=en",2021-11-11T14:21:33Z
Villa St. Nicholas,4.0 stars,15 reviews,,"Kosta Abrash 28, Ohrid 6000, North Macedonia",,,business.site,38970247113,"4Q6W+QX Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipNLaR8cWShG46SWFRk_1HfMntd3ZgcxGSp1Agw8=w447-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipOpRqcUL2EmqQV37hEtnGC_dhuX7h_Y4TKJ7BPW=w447-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipP5Zsv6ypMFy1gmBSE9jEbwuo4nYLpvZ9IfWn6L=w224-h336-k-no, https://lh5.googleusercontent.com/p/AF1QipMoIhD4s02zgjO6xEYRfSKi7iyjGvHm_dBbJUac=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNzPPeOI9r8czsS6aGEA4nVHB7fpZi_CKFZ3XT3=w447-h298-k-no",VillaStNicholas40stars15,c63e3aac2eee0d08c1c8bd1445ad5e33,[],"['41.1119218', '20.7952171']",20.7952171,41.1119218,"https://www.google.com/maps/place/Villa+St.+Nicholas/@41.1119218,20.7952171,17z/data=!3m1!4b1!4m8!3m7!1s0x1350dcbad659f6eb:0x9b5a8e7374847935!5m2!4m1!1i2!8m2!3d41.1119218!4d20.7974058?authuser=0&hl=en",2021-11-11T14:21:43Z
Villa Veron,4.6 stars,168 reviews,,"MK, Spas Bandzhov 22, Ohrid 6000, North Macedonia",,,villaveron.com,38978208904,"4R55+Q4 Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipPdek8cQiaDUs9iqkV2LlS3-jNMFWCSiOblKzxG=w650-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipPF3KAxdII34bRn5NLwE_qonWZghURlTYGtvhYI=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipOMJct4x4CsSilAf_pSNXixfuZ_IsBkfe3AkFJx=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNkElUtbSfMlVGv1COK6SJqxpSOVVRqNoFHUd4l=w530-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipM3jYv3w8hlQFg5vtfoStRhC13NSfDnHqIzvxF7=w224-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=g4eEOWl5EFCthZeXw8Ejlg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=108.777916&pitch=0&thumbfov=100",VillaVeron46stars168,dd241168dd69b52810cc8861ce1dbd2e,[],"['41.1094207', '20.8055829']",20.8055829,41.1094207,"https://www.google.com/maps/place/Villa+Veron/@41.1094207,20.8055829,17z/data=!3m1!4b1!4m8!3m7!1s0x1350dca793bc0131:0xe5d499dd84248a51!5m2!4m1!1i2!8m2!3d41.1094207!4d20.8077716?authuser=0&hl=en",2021-11-11T14:21:52Z
Hotel Cingo,4.1 stars,374 reviews,,"MK, Abaz Emin 3, Ohrid 6000, North Macedonia",,,seasonsnseasons.com,38946250001,"4Q8X+W6 Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipNQEwJfiUAHIlBz7RC0pg47qIDVsUG_5tmHq-1w=w224-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipPdeONAgLi_OqRx5cC6-7A_5J5Bp6tcoGWeuebz=w224-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipOhlDcnzaaeaOKJsCYTBQ8DOYiS-GimOZ9P3J10=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNL4esbUfjiTeua0LJPfeh8KYX0JHyF2RXDagJh=w355-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipPqPdO1arwpy7HMnN_XhIUsgn3gPwcZNbJJmuuK=w224-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMXKObA5uy8-98yKGhxTr3XRHPx75mlnMXby9vH=w447-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YqLZnwZi2py3osPPZgTttA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=294.73566&pitch=0&thumbfov=100, https://lh5.googleusercontent.com/p/AF1QipOrP-X9xgsBv-LRHO9IBe1FHGey-1g0dKCYWICh=w224-h398-k-no",HotelCingo41stars374,36b896a65f57cf3468b7b438dace35e3,[],"['41.1173078', '20.7959246']",20.7959246,41.1173078,"https://www.google.com/maps/place/Hotel+Cingo/@41.1173078,20.7959246,17z/data=!3m1!4b1!4m8!3m7!1s0x1350dca2f1433509:0xe5635c0abc2a1fd4!5m2!4m1!1i2!8m2!3d41.1173078!4d20.7981133?authuser=0&hl=en",2021-11-11T14:22:04Z
Villa St. Sofija,4.4 stars,115 reviews,,"Kosta Abrash 64, Ohrid 6000, North Macedonia",,,vilasofija.com.mk,38946254370,"4Q6W+W2 Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipMrZy0EAhl0sDJ-KEXGK63dByA6Romv191fokam=w447-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNi0daK9sy4THuKmwpisgt-oZt9vXZIsyNcVQPs=w447-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMYAYat9cLShKXfjl6Wz7hxx1NG9hSu-ei9K0DB=w447-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipOYz6GMU2YM1862uXywIPj8mZK1Ue9r20JBqWc_=w224-h460-k-no, https://lh5.googleusercontent.com/p/AF1QipOq5eE4VoIsLajJMRFh7I8myJSEn7D8FTMK9xgn=w529-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMwPMJ73RqEcnOgJf7aA_LC0xp8S5Q8j1ZOlBTN=w224-h336-k-no, https://lh5.googleusercontent.com/p/AF1QipOGPqpmw6OkNvV-i5fgRwFb9Vf5gjbdsMmI1mB6=w224-h298-k-no-pi-0-ya89.737595-ro-0-fo100, https://lh5.googleusercontent.com/p/AF1QipPFh8NDVSj3yziDgVAmcU4C917YE1jo1HBmQ3Ks=w224-h398-k-no",VillaStSofija44stars115,9a030b37dcc65149960475c361f191b7,[],"['41.1122828', '20.7928664']",20.7928664,41.1122828,"https://www.google.com/maps/place/Villa+St.+Sofija/@41.1122828,20.7928664,17z/data=!3m1!4b1!4m8!3m7!1s0x1350dcbb2820bb79:0xfbe4fe997f3b84f9!5m2!4m1!1i2!8m2!3d41.1122828!4d20.7950551?authuser=0&hl=en",2021-11-11T14:22:18Z
Villa White Lake,4.2 stars,58 reviews,,"Kej Makedonija 18, Ohrid 6000, North Macedonia",,,,,"4R63+6G Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipMJn5TmNwKuIAr7rQvhM7XX5vssffs7K5kxeenr=w530-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMEkPGNb_fiXCIVW78y1oNn31MhXGPGkSR26KfS=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNuClyQX_ABjERPOJ_yq-YvylcVbBzeMum9pO1R=w529-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=N0hxdLiO1QxqFp6hwpDcog&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=17.83547&pitch=0&thumbfov=100",VillaWhiteLake42stars58,833a1a88f271af06750ec3b62a2b5698,[],"['41.1105536', '20.8016197']",20.8016197,41.1105536,"https://www.google.com/maps/place/Villa+White+Lake/@41.1105536,20.8016197,17z/data=!3m1!4b1!4m8!3m7!1s0x1350dca6583e15df:0xfe92efcfd8cac498!5m2!4m1!1i2!8m2!3d41.1105575!4d20.8038115?authuser=0&hl=en",2021-11-11T14:22:28Z
Apartments Joce,4.7 stars,128 reviews,,"Dejan Vojvoda 96, Ohrid, North Macedonia",,,,38946252208,"4QCX+3M Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipN0BULNFKc9hSoDBjEmju_oMQKbm35leaWiyUBI=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipP6FEh5IeSElcK8R5iPKy7NOqGojz-yYXdtfmwO=w447-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipPUYeMnpEfMSgC8HumsutMOLJFZf13mZC_HSHbQ=w224-h468-k-no, https://lh5.googleusercontent.com/p/AF1QipPiF0aNPqWLiuwP5Tbo6Ik_En6_0-WGrP2IDIec=w447-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipOpAooJQKdTho7LSZ6q6Dch0u_LvnPlISvR6-4=w397-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HdFhb8cLHZ6U0dfCvGRl9A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=90.2719&pitch=0&thumbfov=100",ApartmentsJoce47stars128,afc106470305c3effaaecf4354eea113,[],"['41.1202162', '20.7970306']",20.7970306,41.1202162,"https://www.google.com/maps/place/Apartments+Joce/@41.1202162,20.7970306,17z/data=!3m1!4b1!4m8!3m7!1s0x1350dc98540379a3:0x529da78d52de267!5m2!4m1!1i2!8m2!3d41.1202183!4d20.7992036?authuser=0&hl=en",2021-11-11T14:22:37Z
Villa Blažeski,4.7 stars,36 reviews,,"MK, Partizanska 69, Ohrid 6000, North Macedonia",,,villablazeski.com,38970391705,"4R55+5W Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipPnzYAMUICZ7dCU3qnFzBdDJgu_nxqQ6IIlbOD9=w531-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMvWXfX9Fla5zfTzoO_9KycaLTRlA60-9mxmWE3=w447-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMK8QBN6uV-qguvsgQfPC3HJ085SLAQChTQkasj=w224-h336-k-no, https://lh5.googleusercontent.com/p/AF1QipO8D99cqfCJvsKzUvcWn_YotoV8x2pYpRBxPCAL=w224-h398-k-no, https://lh5.googleusercontent.com/p/AF1QipNmbH4n2_5gXjmSXsI2Edz8ws4pg7uDfRICEIXX=w224-h497-k-no, https://lh5.googleusercontent.com/p/AF1QipOWksAgm9WnukgxPoPWh8Dd4Ips1mtCIxV0Q2pf=w298-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=itg4dZTvesDhCel0qC9YJg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=60.50156&pitch=0&thumbfov=100",VillaBlažeski47stars36,4ad05a8093923bbc823390cacf2dc709,[],"['41.107919', '20.8076597']",20.8076597,41.107919,"https://www.google.com/maps/place/Villa+Bla%C5%BEeski/@41.107919,20.8076597,17z/data=!3m1!4b1!4m8!3m7!1s0x1350db5817e620fb:0xf4f6737161f40093!5m2!4m1!1i2!8m2!3d41.1078615!4d20.8096332?authuser=0&hl=en",2021-11-11T14:22:46Z
Villa Dislievski,4.5 stars,116 reviews,,"MK, Kej Makedonija 68A, Ohrid 6000, North Macedonia",,,villadislievski.com,38971260250,"4R55+72 Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipPHzuZdzC0OIlQDSJ8ULRZcacQMdzI-CeCm6gZ0=w448-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNyi3JFriPl8fzPcO0nWtndlFbbnxuCKQDyWW1j=w447-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipOlUWhzFOamuA_IgJ55EC4PC8ICNFZhnQMk_HZF=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipPp8z-YTa64xNvNnF5D_ThGdgNd7SOBwQBYff1G=w224-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipN7AbwHgkawTNo4lw6OzfgkgFkrr4w_vHdJ2Gr_=w424-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipPVPAdIq3Pw0dMnZ7iB-LFQf9-bJKtJQbXt4gT4=w425-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OECLHunX7o3IaY6IBa5uOA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=259.62268&pitch=0&thumbfov=100",VillaDislievski45stars116,dc85dc044f80dc3d8c0b15b5adb5a627,[],"['41.1082328', '20.8053148']",20.8053148,41.1082328,"https://www.google.com/maps/place/Villa+Dislievski/@41.1082328,20.8053148,17z/data=!3m1!4b1!4m8!3m7!1s0x1350dca7fac3311b:0x35b56da708630cbd!5m2!4m1!1i2!8m2!3d41.1082328!4d20.8075035?authuser=0&hl=en",2021-11-11T14:22:56Z
Villa Marta,4.7 stars,135 reviews,,"Jane Sandanski 60, Ohrid 6000, North Macedonia",,,,,"3RQ4+PW Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipPhbNEMyZLearQxIg6G1J1CLCohASjCUAuWZYKl=w224-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNCNe0zZ2NxgJ8LI3E3TL7sDCasXyksp2-4uGZT=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipPPe6Zz_fDnhnMLhaG1PMNXQzhSp9XIpGnRa5eY=w224-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipPQpuEuAd3y1u8-iUbCvzH-l_lD5ClnhTRQ-lvc=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipOf1bzVknudXfYrKI-01PScVG6KuyRW8l9A6A-7=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNJmwzHY7sVEfeqxKddjQnhGycdMpgDz7qmIS5p=w224-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMjgEwoh2dpDwlForoPu9GzbLabf2TOSks4rcda=w397-h298-k-no",VillaMarta47stars135,66171e85be82af3193bf693314a87337,[],"['41.089344', '20.8051113']",20.8051113,41.089344,"https://www.google.com/maps/place/Villa+Marta/@41.089344,20.8051113,17z/data=!3m1!4b1!4m8!3m7!1s0x1350c357e0dbebd7:0xc22dbfdb4c8098e4!5m2!4m1!1i2!8m2!3d41.089344!4d20.8073?authuser=0&hl=en",2021-11-11T14:23:07Z
