title,rating,review_count,rating_category,address,located_in,working_hours,website,phone,plus_code,popular_hours_of_today,photos,keycontent,id,reviews,geo_location,longitude,latitude,url,timestamp
Restorante Valentino,4.6 stars,148 reviews,,"Jane Sandanski 56, Ohrid 6000, North Macedonia",,"Open now:, 8AM–12AMThursday, 8AM–12AM, Holiday hours, Hours might differ, Friday, 8AM–12AM, Holiday hours, Hours might differ, Saturday, 8AM–12AM, Holiday hours, Hours might differ, Sunday, 8AM–12AM, Holiday hours, Hours might differ, Monday, 8AM–12AM, Holiday hours, Hours might differ, Tuesday, 8AM–12AM, Holiday hours, Hours might differ, Wednesday, 8AM–12AM, Holiday hours, Hours might differ",,38946609409,"4R76+G8 Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipMdvNhfhx-mFXiF8YheXs_Ju3t2RZTEjsROV2dk=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMIIcvrtxnIwNBhnVK8YTcjFyqMymj39O1yRdkc=w447-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMaOlY4egQG6xcBqTrQa2tuerD-PtEF6U_GmFEZ=w447-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oBdz6X3GpyU-7L-BbrtqCQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=137.7977&pitch=0&thumbfov=100",RestoranteValentino46stars148,41f2ede9b32700b7838fb3222ae51196,[],"['41.1138651', '20.8085924']",20.8085924,41.1138651,"https://www.google.com/maps/place/Restorante+Valentino/@41.1138651,20.8085924,17z/data=!3m1!4b1!4m8!3m7!1s0x1350db5efdcc28ef:0x88b29538a2e1e955!5m2!4m1!1i2!8m2!3d41.1138651!4d20.8107811?authuser=0&hl=en",2021-11-11T14:33:54Z
Vkusno Salim Usta,4.6 stars,776 reviews,Turkish restaurant,"4Q8X+PFW, Ohrid, North Macedonia",,"Open now:, 9AM–1AMThursday, 9AM–1AM, Holiday hours, Hours might differ, Friday, 9AM–1AM, Holiday hours, Hours might differ, Saturday, 9AM–1AM, Holiday hours, Hours might differ, Sunday, 9AM–11PM, Holiday hours, Hours might differ, Monday, 9AM–1AM, Holiday hours, Hours might differ, Tuesday, 9AM–1AM, Holiday hours, Hours might differ, Wednesday, 9AM–1AM, Holiday hours, Hours might differ",,38971606946,,,"https://lh5.googleusercontent.com/p/AF1QipMGbvothF8BKVBsJBwZJjNU_WckIN38-8MlFzqP=w529-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMCcmK5iaP6vOBB4y7Hylhjsp1a6ANFaiMd10a2=w224-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipOW6GGFpg7PdCuOffBJ9176iw2Z2j69CMwiXmZ7=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMQxaqkLRm7NeN26K1JBzchrh0ak0YgfRn9rvJN=w398-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMtQQIo8SVpP4Opq1NBBo8gDsnGzVJxImJAFio4=w397-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E93VX-l6pU53JSjdZPScSQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=188.81088&pitch=0&thumbfov=100, https://lh5.googleusercontent.com/p/AF1QipMitJuhPe4bhdL_mhiagnyOh6QI1Nu0F9UIZ2Po=w529-h298-k-no",VkusnoSalimUsta46stars776,ed6a9e3177f73542438d08645f4ee3d7,"[{'review_title': '', 'reviewer': 'Cristi', 'review': 'We saw this place full for lunch and we went for dinner, when it was full again. The food is cheap, place and service are basic, the quantity and quality are good. The portion of 10 kebabs is the foundation. We chose the half chicken, very …', 'review_age': '4 months ago'}, {'review_title': '', 'reviewer': 'Alexander Melo Gómez', 'review': 'Big portions, low prices and delicious food. We went twice there and we were very happy with our food. I ordered a small portion of fries and it was bigger than what you can find in any other restaurant. When ordering wine, we got the …', 'review_age': '9 months ago'}, {'review_title': '', 'reviewer': 'Jamie', 'review': 'The food here is delicious and well priced for the quantity - I ordered goulash which was delicious. The bread here is also very tasty and higher quality than what I have eaten at other restaurants.  My server was kind, polite, and spoke …', 'review_age': '8 months ago'}]","['41.116871', '20.7965217']",20.7965217,41.116871,"https://www.google.com/maps/place/Vkusno+Salim+Usta/@41.116871,20.7965217,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dca24eefdf4b:0x4ab7d62c9492658f!8m2!3d41.116871!4d20.7987104?authuser=0&hl=en",2021-11-11T14:34:08Z
VIlla Kotlar Ohrid,5.0 stars,28 reviews,Apartment complex,"Bistrica 21, Ohrid 6000, North Macedonia",,,,38976284500,"4Q9Q+X2 Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipMB1XI0hSAlttDnXqtuxbVQMS6JOGAcVSVfAvEE=w447-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNaZFM53smJFLnWN5Zpbx7msFB-AvB0swCc94jo=w459-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNiLkwFwB1SXVyR6Q9HG-Kw-fUJNJEUZzT9rpY5=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipM2LWJKbzvfuY-hTx3lMlM2XNwgDoY8N5T80kOt=w475-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipOioMDfsGkV6_xmYKxqf011ntlwYRNy6piOseeV=w224-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=12E3SHoppzzMBLkG_Jj2MQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=323.43274&pitch=0&thumbfov=100",VIllaKotlarOhrid50stars28,b46fdf1804a410167e64e48e020a542c,"[{'review_title': '', 'reviewer': 'Michelle Desair', 'review': 'Lovely hotel with friendly staff. Not far away from the lake and walking distance from the city center. I can definitely recommend this hotel.', 'review_age': '3 months ago'}, {'review_title': '', 'reviewer': 'Peter Olthof', 'review': 'Simply amazing. Great breakfast, amazing rooms especially for the price you pay, very kind personal and located near about everything you could ask for!', 'review_age': '2 years ago'}, {'review_title': '', 'reviewer': 'Mandy Veldhoen', 'review': 'Had an amazing time at Villa Kotlar. The rooms are perfect with great beds and also the shower was really nice. There is even a little fridge in your room so you can cool some water. …', 'review_age': '2 years ago'}]","['41.1199687', '20.7853779']",20.7853779,41.1199687,"https://www.google.com/maps/place/VIlla+Kotlar+Ohrid/@41.1199687,20.7853779,17z/data=!3m1!4b1!4m5!3m4!1s0x1350ddfdd760cd61:0xf110bc6f7e92c1cf!8m2!3d41.1199687!4d20.7875666?authuser=0&hl=en",2021-11-11T14:34:24Z
Terrazza Aquarius,4.5 stars,737 reviews,Cafe,"Kosta Abrash, Ohrid 6000, North Macedonia",,"Open now:, 8AM–1AMThursday, 8AM–1AM, Holiday hours, Hours might differ, Friday, 8AM–1AM, Holiday hours, Hours might differ, Saturday, 8AM–1AM, Holiday hours, Hours might differ, Sunday, 8AM–1AM, Holiday hours, Hours might differ, Monday, 8AM–1AM, Holiday hours, Hours might differ, Tuesday, 8AM–1AM, Holiday hours, Hours might differ, Wednesday, 8AM–1AM, Holiday hours, Hours might differ",aquarius-oh.mk,38946252625,"4Q6W+PW Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipN5A9IfquQABLIOdgUvkZ47ScJfzuKYVen9cZwI=w613-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNvmIeCYcodOC9zVxxP_JZcTSd5RDkHTnRP0cgZ=w529-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipPRkjbXgaXPxUsIIZed8W0oc8trohaB7xp9p-dw=w224-h397-k-no, https://lh5.googleusercontent.com/p/AF1QipPvauiuB6dnwHAvFBRxtOjZxCkWtFTqsSQVu9KS=w224-h298-k-no-pi-0-ya118.5619-ro0-fo100, https://lh5.googleusercontent.com/p/AF1QipMM0s-j1YXkd2spiyyIVeRnHRPVBbx9m4fCniGs=w529-h298-k-no",TerrazzaAquarius45stars737,4a3c84a5363a5a41b66ebcd6687b4b13,"[{'review_title': '', 'reviewer': 'Eduardo Velasquez', 'review': 'The place itself was actually quite picturesque and I liked it, but I was there minding my own business and enjoying the view and my beer when the waiter appeared out of nowhere asking me to pay for my beer right away. I politely answered …', 'review_age': '2 months ago'}, {'review_title': '', 'reviewer': 'Artur Corte', 'review': 'Good views, good craft beer', 'review_age': '2 months ago'}, {'review_title': '', 'reviewer': 'Emilijana Tomanoska', 'review': 'Excellent place for relaxing. Very nice view on Ohrid lake. Special spirit . love this place', 'review_age': 'a year ago'}]","['41.1118234', '20.7951118']",20.7951118,41.1118234,"https://www.google.com/maps/place/Terrazza+Aquarius/@41.1118234,20.7951118,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dca51fea07b1:0xe10ff4253d9071e5!8m2!3d41.1118234!4d20.7973005?authuser=0&hl=en",2021-11-11T14:34:37Z
Restoran Stanica,4.5 stars,328 reviews,Restaurant,"Budva 22, Ohrid, North Macedonia",,"Open now:, 8AM–12AMThursday, 8AM–12AM, Holiday hours, Hours might differ, Friday, 8AM–12AM, Holiday hours, Hours might differ, Saturday, 8AM–12AM, Holiday hours, Hours might differ, Sunday, 8AM–12AM, Holiday hours, Hours might differ, Monday, 8AM–12AM, Holiday hours, Hours might differ, Tuesday, 8AM–12AM, Holiday hours, Hours might differ, Wednesday, 8AM–12AM, Holiday hours, Hours might differ",,38946259059,"4RG4+FR Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipMX_788Nl2EQc596A63w3qEDD9K2I9PwzsmtyHd=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipOU6e5Wqjp9OgWyz4MdXVp0buuyxhXE62-AROXX=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipOK1y6ycYDSdksLOn62-c887VxW9ZHCoM1XrJj9=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMn8Oq1Lq8eqRwKgNUCcZWnulbI8WWb8C648_4R=w224-h398-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JNdY13ea38IdbXbYTGl1xw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=80.229126&pitch=0&thumbfov=100, https://lh5.googleusercontent.com/p/AF1QipMheqhk4nK4ldbIQ91XSQG_SmsPg1_sdu5on3ko=w224-h398-k-no",RestoranStanica45stars328,6f40812857d26bc63856e925209538a8,"[{'review_title': '', 'reviewer': 'Jacob Parry', 'review': 'Good quality food and good service. Great spot to go if you have to go to the bus station (7 minute walk away)', 'review_age': '3 months ago'}, {'review_title': '', 'reviewer': 'Amanda Aleksova', 'review': 'Really friendly staff, for anyone who enjoys meat this is definatelty the best place to come. They also have lots of other delicious meals, good selection of salads.', 'review_age': '3 months ago'}, {'review_title': '', 'reviewer': 'Pete Z', 'review': 'Very good restaurant serving breakfast and good lunch and dinner. Mostly locals come here.', 'review_age': '8 months ago'}]","['41.126152', '20.8048982']",20.8048982,41.126152,"https://www.google.com/maps/place/Restoran+Stanica/@41.126152,20.8048982,17z/data=!3m1!4b1!4m5!3m4!1s0x1350ddd8cee2257b:0x25a0b4a1fba8cd19!8m2!3d41.126152!4d20.8070869?authuser=0&hl=en",2021-11-11T14:34:50Z
Pizza Nemo,4.5 stars,558 reviews,Pizza restaurant,"MK, Tsar Samoil, Ohrid 6000, North Macedonia",,"Open now:, 9AM–12AMThursday, 9AM–12AM, Holiday hours, Hours might differ, Friday, 9AM–1AM, Holiday hours, Hours might differ, Saturday, 9AM–1AM, Holiday hours, Hours might differ, Sunday, 9AM–12AM, Holiday hours, Hours might differ, Monday, 9AM–12AM, Holiday hours, Hours might differ, Tuesday, 9AM–12AM, Holiday hours, Hours might differ, Wednesday, 9AM–12AM, Holiday hours, Hours might differ",pizzanemo.com,38946253355,"4Q7X+3F Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipOv6Cn34GPQhOS1vWBRZo3kvU-D4fO26Fq6Ob5W=w761-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMZrAKLfCmxxWs7STo45E7npZPRis2ay69HWvNJ=w224-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipN5eTwgUcqSw_KqaYinfcAYslHekOga9b1_zee5=w224-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipOVEZiAQu9XmITM6KSVBi6P8I4p8xCnEdFeSVLA=w421-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipPjrwLG5iakHhhoEJCUD0jhm8QJTa8WBKiDXf9Q=w224-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNFDPwyMzxfU1vH6QmrlNzK0VHpO1Yt-nVeRp_h=w420-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNTqH-jUOVRz_KJ_IjtxnxasFWigC-GliPQ5AuJ=w224-h298-k-no-pi-0-ya46.407887-ro-0-fo100",PizzaNemo45stars558,0334c0705b0dcefeb9903388377641f7,"[{'review_title': '', 'reviewer': 'Mila', 'review': 'They made a reservation instantly, with no problem, amazing service, they were quick and brought our accurate orders, food was absolutely delicious, they even gave us 2 10% discount coupons. Tipped the waiter accordingly. Definitely recommend.', 'review_age': '3 months ago'}, {'review_title': '', 'reviewer': 'Adrianna', 'review': 'Really tasty pizza and melted cheese. ♥️', 'review_age': '2 months ago'}, {'review_title': '', 'reviewer': 'Selos', 'review': ""These guys are amazing, I go there everytime.\n\nThe other day I ordered the wrong pizza and they cooked me a new one!! Even though it was my fault, didn't even charge me extra. Give them a go, good food great staff."", 'review_age': 'a month ago'}]","['41.1126332', '20.7964485']",20.7964485,41.1126332,"https://www.google.com/maps/place/Pizza+Nemo/@41.1126332,20.7964485,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dca4f59b60f9:0xaf53853c78234a59!8m2!3d41.1126332!4d20.7986372?authuser=0&hl=en",2021-11-11T14:35:27Z
Burger Station 1,4.6 stars,59 reviews,Fast food restaurant,"St Clement of Ohrid, Ohrid 6000, North Macedonia",Located in: Complex Letnitsa,"Temporarily closedThursday, 12PM–7AM, Holiday hours, Hours might differ, Friday, 12PM–7AM, Holiday hours, Hours might differ, Saturday, 12PM–12AM, Holiday hours, Hours might differ, Sunday, Open 24 hours, Holiday hours, Hours might differ, Monday, 12PM–7AM, Holiday hours, Hours might differ, Tuesday, 12PM–7AM, Holiday hours, Hours might differ, Wednesday, 12PM–7AM, Holiday hours, Hours might differ",m.facebook.com,38975661664,"4Q7X+FW Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipMk-W3e27yudmHcdXRb5mHU_VHJ17HkpXIwjn7S=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNPDD1J9fEwtm-aD3c66PzQDwGEU1HPitXGF5Ko=w421-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNRseU9HilvcLra11eEu7Xx1tdfI8bvroQPrn73=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipOJqTEfT_QMJ25jx6yc6Uq37Pi4JZPipI7HMeNk=w224-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMmukmirB0kC8WgPT5xJF1D6C_NHaJZXrQTqa0R=w397-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=K9cYIu3wZKyCHzv3j8d_nQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=281.59457&pitch=0&thumbfov=100",BurgerStation146stars59,698201fb632c8fb8fde7e7861774c99e,"[{'review_title': '', 'reviewer': 'Conor Brown', 'review': 'Best Burger I have ever tried! I had the Chilli burger with added cheese which had an amazing level of spice! My Girlfriend had the truffle burger which was also very nice! The brioche bun was amazing and the burger tasted so fresh! To top …', 'review_age': '6 months ago'}, {'review_title': '', 'reviewer': 'Vanja', 'review': 'The burger was recommended to me number of times,  however i think that the sauces killed the magic. You could not taste the meat from the sauces. Also I think it is a pity to serve curry-mayo with truffle burger. The guys were super friendly.', 'review_age': '8 months ago'}, {'review_title': '', 'reviewer': 'Slavco Stojanoski', 'review': 'Best burgers in town, no doubt aboit it. Maybe the most expensive too, but it i worth it to pay the small difference in price with other burger places. Absolutely the best offer in burgers. To be fair, it is probably the only burger place …', 'review_age': 'a year ago'}]","['41.1136321', '20.7975766']",20.7975766,41.1136321,"https://www.google.com/maps/place/Burger+Station+1/@41.1136321,20.7975766,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dd725d0a9ed3:0xdf7d774aae842c2f!8m2!3d41.1136321!4d20.7997653?authuser=0&hl=en",2021-11-11T14:35:41Z
Ohrid City Bakery - Градска Пекара Охрид,4.5 stars,78 reviews,Bakery,"Boulevard Turistichka 47, Ohrid 6000, North Macedonia",,"Closing soon:, 6AM–4PMThursday, 6AM–4PM, Holiday hours, Hours might differ, Friday, 6AM–4PM, Holiday hours, Hours might differ, Saturday, 6AM–4PM, Holiday hours, Hours might differ, Sunday, 6AM–4PM, Holiday hours, Hours might differ, Monday, 6AM–4PM, Holiday hours, Hours might differ, Tuesday, 6AM–4PM, Holiday hours, Hours might differ, Wednesday, 6AM–4PM, Holiday hours, Hours might differ",business.site,38975259891,"4R65+JG Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipOetA7xyPdF_tcnI04s4dCKsFkqrfeRlYylfXqi=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMLnGWGGMhXwn_qA9JfLXgcui0TAGA9Xe_rVMIY=w529-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMaWsGFNE1Je1dfq3k_E-DSHiZdtqFCfl6Lufhp=w397-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipP2t4aDYMK51pRfouS3u7sCq5ikCRgw0Df2B5zq=w529-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ov1TpFH79EGuIXdA96EVaw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=245.39055&pitch=0&thumbfov=100",OhridCityBakeryГрадскаПекараОхрид45stars78,6bb66ed96e512af63c583159a6797439,"[{'review_title': '', 'reviewer': 'Ubaroz Ubaroz', 'review': 'Just lovely! Friendly and helpful and the pastries are excellent. You can sit and enjoy or get take away. Great value too, recommended!!', 'review_age': '3 months ago'}, {'review_title': '', 'reviewer': 'jelena mitrovic', 'review': 'I loved this bakery. Pies and pastry are quite cheap and very tasty. A woman who works there (Snezana) is so nice. There are tables in front of the bakery and inside the bakery where you can sit and enjoy your meal. The bus stop is near this bakery.', 'review_age': '2 years ago'}, {'review_title': '', 'reviewer': 'Keep Watching', 'review': 'Place with long tradition, best burek in town!', 'review_age': 'a year ago'}]","['41.1116204', '20.8065839']",20.8065839,41.1116204,"https://www.google.com/maps/place/Ohrid+City+Bakery+-+%D0%93%D1%80%D0%B0%D0%B4%D1%81%D0%BA%D0%B0+%D0%9F%D0%B5%D0%BA%D0%B0%D1%80%D0%B0+%D0%9E%D1%85%D1%80%D0%B8%D0%B4/@41.1116204,20.8065839,17z/data=!3m1!4b1!4m5!3m4!1s0x1350db58b0d15a0b:0xe4482ca524cdd358!8m2!3d41.1116209!4d20.8087733?authuser=0&hl=en",2021-11-11T14:35:55Z
Aleksandrija Restaurant,3.4 stars,7 reviews,Restaurant,"Kosta Abras, Ohrid, North Macedonia",,"Open now:, 8AM–12AMThursday, 8AM–12AM, Holiday hours, Hours might differ, Friday, 8AM–12AM, Holiday hours, Hours might differ, Saturday, 8AM–12AM, Holiday hours, Hours might differ, Sunday, 8AM–12AM, Holiday hours, Hours might differ, Monday, 8AM–12AM, Holiday hours, Hours might differ, Tuesday, 8AM–12AM, Holiday hours, Hours might differ, Wednesday, 8AM–12AM, Holiday hours, Hours might differ",,38976210727,,,"https://lh5.googleusercontent.com/p/AF1QipMjWJxYXbeCI-TvidL8nUAE7FLp5V3WSjWNyVBv=w224-h486-k-no, https://lh5.googleusercontent.com/p/AF1QipPaEoxFbjU3lokYiTWx_L6yNUCOXqpPPrHnwJM1=w224-h486-k-no, https://lh5.googleusercontent.com/p/AF1QipOeLwSCe4Vz8T1IHJ9NPQ23p39Dexz72hzVeVw=w224-h298-k-no, https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=n2ZCboRPjw76_jpxVfXuAg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=138.75114&pitch=0&thumbfov=100",AleksandrijaRestaurant34stars7,b57a1b972f796c15e39ccc378090159c,"[{'review_title': '', 'reviewer': 'Jovana Miletikj', 'review': 'The staff in this restaurant is very rude to the point where they bring you uncooked food. We had pasta which was not cooked well and we got sick after it. Also I had the Frutti Di Mare pasta where I found a fish bone. The menu in this …', 'review_age': '3 months ago'}, {'review_title': '', 'reviewer': 'Tamara Zarić', 'review': ""Amazing food and incredibly hospitable! Warm recommendations if you're nearby 👌🏻✨"", 'review_age': '3 months ago'}, {'review_title': '', 'reviewer': 'Camille Dobremer', 'review': '(Translated by Google) Very pleasant waiters. Hearty and very affordable meals. Perfect lake view. No complaints ! …', 'review_age': 'a month ago'}]","['41.1121515', '20.7942398']",20.7942398,41.1121515,"https://www.google.com/maps/place/Aleksandrija+Restaurant/@41.1121515,20.7942398,17z/data=!3m1!4b1!4m5!3m4!1s0x1350dca4f98e8b37:0x7e2db97528ef7f3f!8m2!3d41.1121515!4d20.7964285?authuser=0&hl=en",2021-11-11T14:36:09Z
Villa St. Sofija,4.4 stars,115 reviews,,"Kosta Abrash 64, Ohrid 6000, North Macedonia",,,vilasofija.com.mk,38946254370,"4Q6W+W2 Ohrid, North Macedonia Copy plus code",,"https://lh5.googleusercontent.com/p/AF1QipMrZy0EAhl0sDJ-KEXGK63dByA6Romv191fokam=w447-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipNi0daK9sy4THuKmwpisgt-oZt9vXZIsyNcVQPs=w447-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMYAYat9cLShKXfjl6Wz7hxx1NG9hSu-ei9K0DB=w447-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipOYz6GMU2YM1862uXywIPj8mZK1Ue9r20JBqWc_=w224-h460-k-no, https://lh5.googleusercontent.com/p/AF1QipOq5eE4VoIsLajJMRFh7I8myJSEn7D8FTMK9xgn=w529-h298-k-no, https://lh5.googleusercontent.com/p/AF1QipMwPMJ73RqEcnOgJf7aA_LC0xp8S5Q8j1ZOlBTN=w224-h336-k-no, https://lh5.googleusercontent.com/p/AF1QipOGPqpmw6OkNvV-i5fgRwFb9Vf5gjbdsMmI1mB6=w224-h298-k-no-pi-0-ya89.737595-ro-0-fo100, https://lh5.googleusercontent.com/p/AF1QipPFh8NDVSj3yziDgVAmcU4C917YE1jo1HBmQ3Ks=w224-h398-k-no",VillaStSofija44stars115,d68943e2f68f57f5931e45f703f11547,[],"['41.1122828', '20.7928664']",20.7928664,41.1122828,"https://www.google.com/maps/place/Villa+St.+Sofija/@41.1122828,20.7928664,17z/data=!3m1!4b1!4m8!3m7!1s0x1350dcbb2a00c283:0xfbe4fe997f3b84f9!5m2!4m1!1i2!8m2!3d41.1122828!4d20.7950551?authuser=0&hl=en",2021-11-11T14:36:24Z
